,plant,start,fuel_type,own,capacity,end,plant_shorts,plant_phonetic,search_name
39,Meghnaghat 300-450 MW CCPP (2nd Unit Dual Fuel: SC GT Unit),"29 May, 2014",HFO/GAS,IPP,203.0,,meghnaghat nd dual fuel sc gt,M252,Meghnaghat 300-450 MW CCPP (2nd Unit Dual Fuel: SC GT Unit) HFO/GAS IPP
40,"Ghorashal, Narsindi 100 MW PP","15 July, 2014",GAS,IPP,108.0,,ghorashal narsindi,G624,"Ghorashal, Narsindi 100 MW PP GAS IPP"
41,Cumilla (Jangalia) 50 MW PP,"28 December, 2014",HFO,IPP,52.0,,cumilla jangalia,C542,Cumilla (Jangalia) 50 MW PP HFO IPP
42,Ashuganj 225 MW CCPP : SC GT Unit,"27 April, 2015",GAS,APSCL,142.0,,ashuganj sc gt,A225,Ashuganj 225 MW CCPP : SC GT Unit GAS APSCL
43,"Kodda, Gazipur 150 MW Power Plant","16 August, 2015",HFO/GAS,BPDB- RPCL JV,149.0,,kodda gazipur,K322,"Kodda, Gazipur 150 MW Power Plant HFO/GAS BPDB- RPCL JV"
44,Ashuganj 225 CCPP: ST Unit,"10 December, 2015",GAS,APSCL,75.0,,ashuganj,A225,Ashuganj 225 CCPP: ST Unit GAS APSCL
45,"Potiya, Chattogram 108 MW Power Plant","14 January, 2015",HFO,IPP,108.0,,potiya chattogram,P323,"Potiya, Chattogram 108 MW Power Plant HFO IPP"
46,Ashuganj 195 MW Modular PP,"8 May, 2015",GAS,IPP,195.0,,ashuganj modular,A225,Ashuganj 195 MW Modular PP GAS IPP
47,Meghnaghat 335 MW CCPP (2nd Unit) : ST Unit,"1 June, 2015",GAS/HSD,IPP,102.0,,meghnaghat nd,M252,Meghnaghat 335 MW CCPP (2nd Unit) : ST Unit GAS/HSD IPP
48,Bibiyana-II 341 MW CCPP : GT Unit,"6 June, 2015",GAS,IPP,222.0,,bibiyanaii gt,B152,Bibiyana-II 341 MW CCPP : GT Unit GAS IPP
49,Bibiyana-II 341 MW CCPP : ST Unit,"26 December, 2015",GAS,IPP,119.0,,bibiyanaii,B150,Bibiyana-II 341 MW CCPP : ST Unit GAS IPP
50,Upgradation of Khulna 150 MW to 225 MW,"28 June, 2016",GAS/ HSD,NWPGCL,72.0,,upgradation of khulna to,U126,Upgradation of Khulna 150 MW to 225 MW GAS/ HSD NWPGCL
51,Ashuganj (South) 450 MW CCPP,"22 july, 2016",GAS,APSCL,373.0,,ashuganj south,A225,Ashuganj (South) 450 MW CCPP GAS APSCL
52,Madangonj 55 MW Peaking Plant,"29 February, 2016",FO,IPP,55.0,,madangonj peaking,M352,Madangonj 55 MW Peaking Plant FO IPP
53,Barishal 110 MW PP,"5 April, 2016",FO,IPP,110.0,,barishal,B624,Barishal 110 MW PP FO IPP
54,Nababganj 55 MW PP,"17 Jun, 2016",FO,IPP,55.0,,nababganj,N112,Nababganj 55 MW PP FO IPP
55,Manikganj 55 MW PP,"17 August, 2016",FO,IPP,55.0,,manikganj,M525,Manikganj 55 MW PP FO IPP
56,Jamalpur 95 MW PP,"29 November, 2016",GAS/ FO,IPP,95.0,,jamalpur,J541,Jamalpur 95 MW PP GAS/ FO IPP
57,Bheramara 360 MW CCPP,"GT: 9 May, 2017",GAS/HSD,NWPGCL,278.0,,bheramara,B656,Bheramara 360 MW CCPP GAS/HSD NWPGCL
58,Shikalbaha 225 MW CCPP,"8 November, 2017",GAS/HSD,BPDB,225.0,,,,Shikalbaha 225 MW CCPP GAS/HSD BPDB
