Feni SIPP (Doreen),"plant_name : Feni SIPP (Doreen), capacity : 22.0, own : Private, fuel_type : Gas"
Baghabari 200 MW PP (Paramount),"plant_name : Baghabari 200 MW PP (Paramount), capacity : 200.0, own : Private, fuel_type : HSD"
Ullapara SIPP ( REB),"plant_name : Ullapara SIPP ( REB), capacity : 11.0, own : Private, fuel_type : Gas"
"Kumkargoan 50 MW PP (15 Years RPP)
( Desh Energy)","plant_name : Kumkargoan 50 MW PP (15 Years RPP)
( Desh Energy), capacity : 10.0, own : Private, fuel_type : Gas"
Feni SIPP (REB),"plant_name : Feni SIPP (REB), capacity : 11.0, own : Private, fuel_type : Gas"
"Mouna, Gazipur SIPP (REB)","plant_name : Mouna, Gazipur SIPP (REB), capacity : 33.0, own : Private, fuel_type : Gas"
Barobkundo SIPP (Regent Power),"plant_name : Barobkundo SIPP (Regent Power), capacity : 22.0, own : Private, fuel_type : Gas"
"Rupganj , Narayanganj SIPP ( REB)","plant_name : Rupganj , Narayanganj SIPP ( REB), capacity : 33.0, own : Private, fuel_type : Gas"
"Jangalia, Cumilla  SIPP (Summit)","plant_name : Jangalia, Cumilla  SIPP (Summit), capacity : 33.0, own : Private, fuel_type : Gas"
Tongi 105 MW PP,"plant_name : Tongi 105 MW PP, capacity : 105.0, own : Public, fuel_type : Gas"
Bheramara 20 MW PP GT3,"plant_name : Bheramara 20 MW PP GT3, capacity : 20.0, own : Public, fuel_type : HSD"
Fenchuganj 15 Years RPP (Barakatullah),"plant_name : Fenchuganj 15 Years RPP (Barakatullah), capacity : 51.0, own : Private, fuel_type : Gas"
