Unnamed: 0,plant_name,capacity_mw,start,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_SOLAR,fuel_WIND,units,usage,cost_per_unit,year
47,Bhairab Power 54.5 MW,54,2021.0,True,False,False,False,False,True,False,False,False,False,70.3824,0.15,12.48,2021
48,Kamalaghat Banco Energy Generation,54,2018.0,True,False,False,False,False,True,False,False,False,False,309.349,0.65,11.47,2021
49,Jodiac Power,54,2019.0,True,False,False,False,False,True,False,False,False,False,276.7625,0.59,11.15,2021
50,Dhaka(Doreen) Northern Power Ltd.Manikgonj,55,2012.0,True,False,False,False,False,True,False,False,False,False,231.8441,0.48,11.39,2021
51,Summit Narayangonj Power unit-2 Madangonj (55 MW),55,2016.0,True,False,False,False,False,True,False,False,False,False,259.5017,0.54,11.44,2021
52,Dhaka(Doreen) Southern Power Ltd.Nobabgonj,55,,True,False,False,False,False,True,False,False,False,False,237.8964,0.49,11.28,2021
53,"Shahjibazar 70 MW GT, Habiganj",70,2000.0,False,False,True,False,True,False,False,False,False,False,361.4274,0.628,3.64,2021
54,"Baghabari 71 MW /GT
Baghabari 100 MW /GT",71,1991.0,False,False,True,False,True,False,False,False,False,False,57.6144,0.18,9.01,2021
55,Bera 70 MW Peaking RE,71,2011.0,False,False,True,False,False,True,False,False,False,False,31.2907,0.052,32.75,2021
56,Powerpac Mutiara Jamalpur Power plant Ltd,95,,True,False,False,False,False,True,False,False,False,False,289.7374,0.35,11.28,2021
57,Fenchuganj C.C. (Unit #1),97,1994.0,False,False,True,False,True,False,False,False,False,False,396.7305,0.662,3.61,2021
58,Hathazari 100 MW Peaking PP,98,2011.0,False,False,True,False,False,True,False,False,False,False,-0.8567,0.001,,2021
59,Noapara100MW (Bangla Trac),100,2018.0,True,False,False,False,False,False,True,False,False,False,122.2197,0.14,31.38,2021
60,Juldha Acorn 100 MW Unit-3,100,2020.0,True,False,False,False,False,True,False,False,False,False,610.5613,0.7,9.93,2021
61,Shahazibazar 100 MW GT,100,2021.0,False,False,True,False,True,False,False,False,False,False,39.4552,0.052,1.89,2021
62,"Aggreko, Brahmangaon 100MW",100,2019.0,True,False,False,False,False,False,True,False,False,False,28.8673,0.03,76.01,2021
63,"Aggreko, Aourahati 100MW",100,2020.0,True,False,False,False,False,False,True,False,False,False,37.1663,0.04,64.13,2021
64,Digital  Power & Associates Gagnagar,102,2014.0,True,False,False,False,False,True,False,False,False,False,325.564,0.36,11.48,2021
65,"Sangu, Dohazari-kaliaish 100 MW PPP",102,2011.0,False,False,True,False,False,True,False,False,False,False,203.2578,0.234,13.4,2021
66,Orion Power Sonargaon Ltd.,104,2020.0,True,False,False,False,False,True,False,False,False,False,451.8127,0.5,11.28,2021
67,"Chapainobabgonj Peaking Power Station 100 MW, Amnura",104,2017.0,False,False,True,False,False,True,False,False,False,False,259.43144,0.291,12.5,2021
68,Fenchuganj C.C. (Unit #2),104,1994.0,False,False,True,False,True,False,False,False,False,False,240.2846,0.34,3.61,2021
69,Modhumoti 105 MW NWPGCL,105,2019.0,False,False,True,False,False,True,False,False,False,False,12.4258,0.015,127.97,2021
70,Lobonchora Orion Power Rupsha Ltd. 105 MW,105,2018.0,True,False,False,False,False,True,False,False,False,False,361.1674,0.004,12.7,2021
71,Tongi 80 MW GTPP,105,2005.0,False,False,True,False,True,False,False,False,False,False,-0.2004,,,2021
72,Gazipur 100 MW PP,105,2019.0,False,False,True,False,False,True,False,False,False,False,370.9008,0.41,12.25,2021
73,Baraka Shikalbaha 105MW PS,105,2017.0,True,False,False,False,False,True,False,False,False,False,160.1848,0.17,17.38,2021
74,ECPV Chattogram Limited 108 MW,108,2019.0,True,False,False,False,False,True,False,False,False,False,190.2545,0.2,13.5,2021
75,CLC Power Co. Ltd. 108 MW Bosila Keranigonj,108,2017.0,True,False,False,False,False,True,False,False,False,False,0.0,0.0,,2021
76,Regent Energy & Power Ltd 108 MW,108,2014.0,True,False,False,False,True,False,False,False,False,False,591.4501,0.63,2.92,2021
77,Gopalganj 100 MW Peaking PP,109,2011.0,False,False,True,False,False,True,False,False,False,False,4.1326,0.007,218.79,2021
78,Summit   Barishal (110 MW),110,2016.0,True,False,False,False,False,True,False,False,False,False,218.6086,0.23,14.49,2021
79,Karnaphuli Power Ltd.,110,2019.0,True,False,False,False,False,True,False,False,False,False,87.2665,0.09,25.6,2021
80,HF 113 MW Power Limited,113,2019.0,True,False,False,False,False,True,False,False,False,False,551.0603,0.56,10.8,2021
81,Confidence Power  Ltd. 113MW Rangpur,113,2019.0,True,False,False,False,False,True,False,False,False,False,494.4,0.5,11.47,2021
82,Bogura 113 MW PP (Confidence) Unit-1,113,2019.0,True,False,False,False,False,True,False,False,False,False,468.1931,0.47,11.68,2021
83,Confidence CPBL- 2 Bogura,113,2019.0,True,False,False,False,False,True,False,False,False,False,447.8107,0.45,12.52,2021
84,United Jamalpur PPL,115,2019.0,True,False,False,False,False,True,False,False,False,False,538.4717,0.53,12.39,2021
85,Anlima Chattogram 116 MW,116,2021.0,True,False,False,False,False,True,False,False,False,False,125.1359,0.12,14.3,2021
86,Kodda 150 MW PP,149,2018.0,False,False,True,False,False,True,False,False,False,False,387.4975,0.308,15.1,2021
87,Kodda Gazipur 149MW Power Ltd. (unit-1 Summit) ACE Alliance,149,2018.0,True,False,False,False,False,True,False,False,False,False,791.75,0.61,10.57,2021
