,own_x,own_y,plant_name,plant_name_alt,plant,fuel_type_x,fuel_type_y,capacity_mw,capacity,dtall_index
46,RENTAL & SIPP,,Shiddirganj  Dutchbangla 100 MW,DUTCH BANGLA POWER & ASSOCIATES LTD.,,HFO,,100.0,,
47,IPP,Private,Haripur Power Ltd.,Haripur Power Ltd.,Haripur 360 CCPP,GAS,GAS,360.0,360.0,199.0
48,IPP,IPP,Bhairab Power 54.5 MW,Bhairab Power Limited (54.50MW),Bhairab 54 MW PP,HFO,HFO,54.0,54.0,142.0
49,IPP,,Baraka Patenga,Baraka Patenga Power Limited,,HFO,,50.0,,
50,IPP,,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,Lakdhanvi Bangla Power Ltd.,,HFO,,52.0,,
51,IPP,,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,Raj Lanka Power Limited,,HFO,,52.0,,
52,IPP,Private,Noapara100MW (Bangla Trac),Bangla Track Power Company Ltd. (Unit-2),Noapara 100 MW PP (Bangla Trac),HSD,HSD,100.0,100.0,185.0
53,Public,RPCL,Gazipur 52 MW PP,RPCL 52MW Gazipur,Gazipur 50 MW PP,HFO,GAS/HFO,52.0,52.0,33.0
54,RENTAL & SIPP,,Julda Acorn Infra.service Ltd.100MW,ACRON INFRASTRUCTURE SERVICE LTD.,,HFO,,100.0,,
55,IPP,IPP,Rural Power Company Ltd.(RPCL),RPC LTD. Mymensingh (210 MW),Mymensingh 200 MW PP,GAS,HFO,210.0,200.0,94.0
56,IPP,,"Aggreko, Brahmangaon 100MW",Aggreko Energy Solution Ltd. - Bhahmangoan (100MW),,HSD,,100.0,,
57,IPP,,"Aggreko, Aourahati 100MW",Aggreko Energy Solution Ltd. - Aorahati (100MW),,HSD,,100.0,,
58,Public,NWPGCL,Sirajgonj 210 MW CC (NWPGCL) Unit-3,North West Power Gen (NWPGCL)- Sirajgonj (Unit - 3),Sirajganj 225 MW CCPP (2nd  Unit),GAS,GAS/HSD,220.0,220.0,80.0
59,IPP,,Dhaka(Doreen) Northern Power Ltd.Manikgonj,Doreen Northern Power Limited,,HFO,,55.0,,
60,RENTAL & SIPP,BPDB,Katakhali (Northern) Peaking,NORTHERN POWER,Katakhali 50 MW Peaking Power Plant,HFO,HFO,50.0,50.0,35.0
61,Public,EGCB,Haripur 412 MW CCPP,EGCB Ltd. (412) MW,Haripur 360 MW CCPP,GAS,GAS,412.0,412.0,44.0
62,IPP,,Nutan Biddyut 220MW Bhola,Nutan Bidyut (Bangladesh) Ltd. (220MW),,GAS,,220.0,,
63,IPP,,Summit Narayangonj Power unit-2 Madangonj (55 MW),Summit Narayangonj Power Unit II Ltd.,,HFO,,55.0,,
64,IPP,,Jodiac Power,Zodiac Power Ctg. Ltd.,,HFO,,54.0,,
65,IPP,,Dhaka(Doreen) Southern Power Ltd.Nobabgonj,Doreen Southern Power Limited,,HFO,,55.0,,
66,Public,,Ashuganj 225 MW CCPP,APSCL (225 MW),,GAS,,221.0,,
67,IPP,,Meghnaghat Power Ltd.,Meghnaghat Power Ltd.,,GAS,,450.0,,
68,IPP,,Feni Lanka Power 114 MW PP,Lanka Power Limited - Feni,,HFO,,114.0,,
69,IPP,,Paramount Baghabari BanglaTrack,Paramount BTrac Energy Ltd. - Sirajgonj,,HSD,,200.0,,
70,Public,,Siddhirganj 335 MW CCPP,EGCB Ltd. (360) MW,,GAS,,335.0,,
