,plant_name,2022_usage,capacity_mw,start,net_generation_gwh,usage,2021_cost_per_unit,2022_cost_per_unit,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_SOLAR,fuel_WIND,location,district_code,2022_units
11,"Power Pac Mutiara,Keranigonj,100MW",10,100,2011,217.866,0.25,8.23,27.37,False,False,False,True,False,True,False,False,False,False,"Keraniganj, Dhaka",dhaka,84.5890605561415
100,"Chapainobabgonj Peaking Power Station 100 MW, Amnura",28.3,104,2017,259.43144,0.291,12.5,23.03,False,False,True,False,False,True,False,False,False,False,"Amnura, Chapainawabganj",chapainawabganj,257.053441645259
1,Powerpac Mutiara Jamalpur Power plant Ltd,2,95,,289.7374,0.35,11.28,22.02,True,False,False,False,False,True,False,False,False,False,"Shahapur, Jamalpur",jamalpur,12.6666217435503
21,Faridpur 50 MW Peaking PP,9.7,54,2011,15.5429,0.037,46.96,20.93,False,False,True,False,False,True,False,False,False,False,"Dhuldi, Faridpur Sadar Upazila, Faridpur",faridpur,42.6929210766798
51,Shiddirganj  Dutchbangla 100 MW,19,100,2011,366.3626,0.42,12.53,20.19,False,False,False,True,False,True,False,False,False,False,"Siddhirganj, Narayanganj",narayanganj,164.512650874779
8,KPCL( 115 MW) U-2,11,115,2011,433.6464,0.43,11.53,19.91,False,False,False,True,False,True,False,False,False,False,"Goalpara, Khulna",khulna,107.977041881507
76,Kodda 150 MW PP,,149,2018,387.4975,0.308,15.1,,False,False,True,False,False,True,False,False,False,False,"Kodda, Gazipur Sadar, Gazipur ",gazipur,
15,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,5.7,51,2015,21.3606,0.05,38.65,19.58,True,False,False,False,False,True,False,False,False,False,"Alirtak, Narayanganj",narayanganj,21.8459647900473
83,Santahar 50 MW PP,15.9,50,2012,42.8089,0.1,21.57,19.57,False,False,True,False,False,True,False,False,False,False,"Santahar, Bogra",bogra,67.083244458847
7,Summit  Power Co. Ltd Madangonj (100 MW),13,102,2011,353.3363,0.4,9.72,19.21,False,False,False,True,False,True,False,False,False,False,"Madanganj, Narayanganj",narayanganj,113.516300616462
109,Titas 50 MW Peaking PP,23.3,52,2011,45.1598,0.104,17,18.5855546668254,False,False,True,False,False,True,False,False,False,False,"Titas, Cumilla",comilla,104.363334992513
56,Julda Acorn Infra.service Ltd.100MW,25,100,2018,189.9422,0.22,16.49,18.44,False,False,False,True,False,True,False,False,False,False,"Juldha, Chattogram",chattogram,217.795044420537
14,Gazipur 52 MW PP,47.3,52,2012,112.6812,0.255,15.93,18.11,False,False,True,False,False,True,False,False,False,False,"Kodda,Gazipur ",gazipur,216.203606593511
69,ECPV Chattogram Limited 108 MW,43,108,2019,190.2545,0.2,13.5,17.58,True,False,False,False,False,True,False,False,False,False," Patiya, Chittagong",chattogram,407.888336245503
21,Summit Narayangonj Power unit-2 Madangonj (55 MW),60,55,2016,259.5017,0.54,11.44,17.29,True,False,False,False,False,True,False,False,False,False," Madanganj, Bandar, Narayanganj",narayanganj,291.212203844148
38,United Jamalpur PPL,62,115,2019,538.4717,0.53,12.39,17.25,True,False,False,False,False,True,False,False,False,False,Jamalpur,jamalpur,628.139814516336
78,Desh Energy Chandpur  200 MW,43,200,2018,535.4999,0.31,13.57,17.2,True,False,False,False,False,True,False,False,False,False,"Gunrajdi, Chandpur",chandpur,755.718614903952
48,Kodda Gazipur 300MW Power Ltd.(unit-2 Summit),54,300,2018,1280.2528,0.49,10.91,17.18,True,False,False,False,False,True,False,False,False,False," Kodda, Gazipur ",gazipur,1424.91382493162
70,Digital  Power & Associates Gagnagar,49,102,2014,325.564,0.36,11.48,16.96,True,False,False,False,False,True,False,False,False,False,"Gognagar, Kashipur, Narayanganj",narayanganj,439.54124330239
53,Bhairab Power 54.5 MW,42,54,2021,70.3824,0.15,12.48,16.95,True,False,False,False,False,True,False,False,False,False,"Bhairab, Kishoreganj",kishoreganj,198.89122492823
12,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,48,52,2014,158.5054,0.35,13.99,16.83,True,False,False,False,False,True,False,False,False,False," Jangalia, Comilla ",comilla,219.465614515206
75,Lobonchora Orion Power Rupsha Ltd. 105 MW,59,105,2018,361.1674,0.004,12.7,16.73,True,False,False,False,False,True,False,False,False,False,"Rupsha, Khulna",khulna,545.666406684783
32,Gazipur 100 MW PP,58.2,105,2019,370.9008,0.41,12.25,16.68,False,False,True,False,False,True,False,False,False,False,"Kodda, Gazipur",gazipur,538.21038857805
49,United Anwara 300MW PS,64,300,2019,1195.9981,0.46,11.36,16.66,True,False,False,False,False,True,False,False,False,False,"Rangadia, Anwara, Chittagong ",chattogram,1689.56729782392
39,Confidence CPBL- 2 Bogura,66,113,2019,447.8107,0.45,12.52,16.56,True,False,False,False,False,True,False,False,False,False," Ranirhat, Birgram, Bogura",bogura,657.330828802131
42,Kodda Gazipur 149MW Power Ltd. (unit-1 Summit) ACE Alliance,62,149,2018,791.75,0.61,10.57,16.49,True,False,False,False,False,True,False,False,False,False,"Kodda, Gazipur Sadar, Gazipur ",gazipur,813.485170282769
57,Katakhali (Northern) Peaking,15.8,50,2012,21.6708,0.05,10.5,16.48,False,False,False,True,False,True,False,False,False,False,"Katakhali, Rajshahi",rajshahi,66.6348282755411
19,Dhaka(Doreen) Northern Power Ltd.Manikgonj,62,55,2012,231.8441,0.48,11.39,16.48,True,False,False,False,False,True,False,False,False,False,"Singair, Manikganj",manikganj,301.059774928513
36,Bogura 113 MW PP (Confidence) Unit-1,62,113,2019,468.1931,0.47,11.68,16.46,True,False,False,False,False,True,False,False,False,False," Ranirhat, Birgram, Bogura",bogura,617.237146530075
0,Sharishabari 3 MW Engreen Solar Power Plant,15,3,2017,3.9442,0.15,16.11,16.42,True,False,False,False,False,False,False,False,True,False,"Sarishabari, Jamalpur ",jamalpur,1.06055582269205
23,Dhaka(Doreen) Southern Power Ltd.Nobabgonj,64,55,,237.8964,0.49,11.28,16.2,True,False,False,False,False,True,False,False,False,False,"Daulatpur, Nawabganj, Dhaka ",dhaka,310.907346012877
34,Baraka Shikalbaha 105MW PS,66,105,2017,160.1848,0.17,17.38,16.07,True,False,False,False,False,True,False,False,False,False," Shikalbaha, Chittagong",chattogram,610.906565118698
