,capacity_mw,net_generation_gwh,usage,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_IMPORT,fuel_SOLAR,fuel_WIND,age,2021_cost_per_unit
39,5.0106352940962555,5.406898639992711,0.209,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58351893845611,1.6544112780768316
42,5.0106352940962555,5.633626784500453,0.261,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58351893845611,1.6544112780768316
45,5.3981627015177525,7.36158550856093,0.828,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58351893845611,1.1817271953786161
48,5.0106352940962555,5.371918603190146,0.202,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5553480614894135,1.6544112780768316
49,4.653960350157523,2.5197749562278897,0.015,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,4.851795861449505
50,5.093750200806762,6.971266553932962,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791759469228055,1.095273387402595
51,4.605170185988092,5.903623553354238,0.42,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,2.528125768907977
52,5.886104031450156,7.74732866802332,0.73,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.091042453358316,0.5187937934151675
53,3.9889840465642745,4.253943231908788,0.15,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2.5241273629412815
54,3.912023005428146,5.2929107772487365,0.45,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,2.474856313934499
55,4.605170185988092,4.805820244873673,0.14,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.6094379124341003,3.4461707473048864
56,4.605170185988092,5.246719815352762,0.22,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,2.8027541365715076
57,3.912023005428146,3.075965732264161,0.05,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.3978952727983707,2.3513752571634776
58,6.021023349349527,7.505261445017986,0.527,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58351893845611,1.1019400787607843
60,5.298317366548036,3.0964731350219385,0.01,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3862943611198906,5.196672162785836
62,5.886104031450156,7.64440423623658,0.694,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791759469228055,1.0367368849500223
64,5.886104031450156,7.578438524104782,0.646,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791759469228055,1.3532545070416904
66,3.9889840465642745,5.7344700893873215,0.65,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,2.4397349311412793
68,5.298317366548036,3.7022990077734015,0.02,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.6094379124341003,4.660794089736088
69,4.68213122712422,5.248362649550107,0.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,2.6026896854443837
70,4.624972813284271,5.7855590629050475,0.36,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,2.4406063908914204
71,4.6443908991413725,6.11326771342192,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,2.423031246069913
72,4.605170185988092,6.414378698010473,0.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,2.295560478057081
73,4.727387818712341,6.31184424055165,0.56,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,2.379546134130174
75,4.653960350157523,5.889341562763096,0.004,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,2.5416019934645457
76,5.003946305945459,5.959709397159687,0.308,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,2.714694743820879
77,4.7535901911063645,4.829400346728391,0.12,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2.6602595372658615
78,5.298317366548036,6.283200703146423,0.31,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,2.6078614738467776
79,6.432940092739179,7.625310104703824,0.397,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,2.151762203259462
81,6.432940092739179,7.474491995673342,0.339,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,2.151762203259462
83,3.912023005428146,3.7567460248956435,0.1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.3978952727983707,3.071303460401065
