,own,plant_name_x,fuel_type,capacity_mw,net_generation_gwh,usage,costs_name,2021_units,2021_amount,2021_cost_per_unit,2022_units,2022_amount,2022_cost_per_unit
146,RENTAL & SIPP,Summit  Power Co. Ltd Madangonj (100 MW),F.oil,102.0,353.3363,0.4,SUMMIT NARAYANGONJ POWER LTD.,353336328.0,3436136533.0,9.72,109319891.0,2100228103.0,19.0
144,RENTAL & SIPP,KPCL( 115 MW) U-2,F.oil,115.0,433.6464,0.43,KPCL -UNIT-2,433646409.0,4998784772.0,11.53,107420657.0,2138624001.0,19.0
51,Public,Sirajgonj 210 MW CC (NWPGCL) Unit-1,Gas,210.0,216.5913,0.122,North West Power Gen (NWPGCL)- Sirajgonj,216329490.0,2382001459.0,11.01,224720935.0,2148277482.0,9.0
65,RENTAL & SIPP,Sahzibazar 86 MW RPP (15 yrs),GAS,86.0,605.4847,0.8,SHAHJIBAZAR POWER CO. LTD.,605484672.0,2039822897.0,3.37,619933776.0,2194442394.0,3.0
84,IPP,Summit   Barishal (110 MW),F.Oil,110.0,218.6086,0.23,Summit Barishal Power Ltd.,218608608.0,3167467899.0,14.49,62791776.0,2313583188.0,36.0
54,IPP,Tangail Polly Power 22 MW TPPGCl,F.Oil,22.0,74.9804,0.39,Tangail Palli Power Generation Ltd. (22MW),71669647.0,890544548.0,12.43,149421480.0,2365086053.0,15.0
114,IPP,United Payra PP Patuakhali Imp,F.Oil,150.0,33.4596,0.03,United Payra (150MW),33419172.0,1077171595.0,32.23,76919436.0,2502197530.0,32.0
150,RENTAL & SIPP,"Power Pac Mutiara,Keranigonj,100MW",F.oil,100.0,217.866,0.25,POWER PAC MUTIARA KERANIGONJ,217866024.0,1792998493.0,8.23,91903200.0,2515217918.0,27.0
25,Public, Ashuganj TPP Unit-3,Gas,150.0,222.9391,0.209,APSCL (Except New 573 MW),711938656.0,3725662841.0,5.23,347574918.0,2516021467.0,7.0
26,Public, Ashuganj TPP Unit-4,Gas,150.0,279.6746,0.261,APSCL (Except New 573 MW),711938656.0,3725662841.0,5.23,347574918.0,2516021467.0,7.0
27,Public, Ashuganj TPP Unit-5,Gas,150.0,215.2755,0.202,APSCL (Except New 573 MW),711938656.0,3725662841.0,5.23,347574918.0,2516021467.0,7.0
48,Public,Modhumoti 105 MW NWPGCL,F.Oil,105.0,12.4258,0.015,North West Power Gen (NWPGCL)- Madhumati,11607408.0,1485423700.0,127.97,98005392.0,2787875557.0,28.0
74,IPP,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,GAS,163.0,1065.5715,0.75,Kushiara Power Company Ltd.,1065571452.0,3184203020.0,2.99,1038532925.0,3185653217.0,3.0
70,RENTAL & SIPP,Shiddirganj  Dutchbangla 100 MW,F.oil,100.0,366.3626,0.42,DUTCH BANGLA POWER & ASSOCIATES LTD.,366362581.0,4588701719.0,12.53,161026042.0,3250631030.0,20.0
69,IPP,Haripur Power Ltd.,GAS,360.0,2315.379,0.73,Haripur Power Ltd.,2315379010.0,3878445190.0,1.68,1919174000.0,3267873587.0,1.0
55,IPP,Bhairab Power 54.5 MW,F.Oil,54.0,70.3824,0.15,Bhairab Power Limited (54.50MW),70305840.0,877217319.0,12.48,198278640.0,3361477855.0,16.0
80,IPP,Baraka Patenga,F.Oil,50.0,198.9216,0.45,Baraka Patenga Power Limited,198921600.0,2363521802.0,11.88,232871760.0,3620246651.0,15.0
82,IPP,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,F.Oil,52.0,158.5054,0.35,Lakdhanvi Bangla Power Ltd.,159349441.0,2229819012.0,13.99,217114112.0,3654069728.0,16.0
78,IPP,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,F.Oil,52.0,146.3081,0.32,Raj Lanka Power Limited,146308138.0,1806686667.0,12.35,234706041.0,3656894613.0,15.0
57,IPP,Noapara100MW (Bangla Trac),HSD,100.0,122.2197,0.14,Bangla Track Power Company Ltd. (Unit-2),122851008.0,3855255637.0,31.38,102068064.0,3703225481.0,36.0
10,Public,Gazipur 52 MW PP,F.Oil,52.0,112.6812,0.255,RPCL 52MW Gazipur,112666731.0,1794318893.0,15.93,209417122.0,3793092964.0,18.0
151,RENTAL & SIPP,Julda Acorn Infra.service Ltd.100MW,F.oil,100.0,189.9422,0.22,ACRON INFRASTRUCTURE SERVICE LTD.,189942210.0,3132864948.0,16.49,222839580.0,4110168523.0,18.0
37,IPP,Rural Power Company Ltd.(RPCL),GAS,210.0,1150.0912,0.63,RPC LTD. Mymensingh (210 MW),1150056632.0,3840313302.0,3.34,1106935572.0,4130993792.0,3.0
59,IPP,"Aggreko, Brahmangaon 100MW",HSD,100.0,28.8673,0.03,Aggreko Energy Solution Ltd. - Bhahmangoan (100MW),28478637.0,2164581074.0,76.01,120485001.0,4245841612.0,35.0
58,IPP,"Aggreko, Aourahati 100MW",HSD,100.0,37.1663,0.04,Aggreko Energy Solution Ltd. - Aorahati (100MW),37076045.0,2377751737.0,64.13,131526563.0,4417000846.0,33.0
