,own,plant_name_x,fuel_type,capacity_mw,net_generation_gwh,usage,match_name_plants,plant_name_y,costs_name,2021_units,2021_amount,2021_cost_per_unit
124,IPP,50 MW HDFC Solar Power Plant,Solar,50.0,64.8588,0.15,50 MW HDFC Solar Power Plant,50 MW HDFC Solar Power Plant,HDFC SinPower Ltd. (50MW),61439464.0,883676770.0,14.38
125,IPP,Manikganj 35MW Spectra Solar Park Ltd.,Solar,35.0,29.1477,0.1,Manikganj 35MW Spectra Solar Park Ltd.,Manikganj 35MW Spectra Solar Park Ltd.,Spectra Solar Park,20066259.0,207814734.0,10.36
128,RENTAL & SIPP,Bogura RPP (24MW) 15 yrs,GAS,22.0,167.4902,0.87,Bogura RPP (24MW) 15 yrs,Bogura RPP (24MW) 15 yrs,GBB POWER LTD.,167490216.0,656939574.0,
129,RENTAL & SIPP,Bogura 20 RPP (3 Yrs) Energy Prima,GAS,20.0,30.3411,0.17,Bogura 20 RPP (3 Yrs) Energy Prima,Bogura 20 RPP (3 Yrs) Energy Prima,"ENERGYPRIMA, BOGRA",27878796.0,96666127.0,3.47
130,RENTAL & SIPP,Ghorashal 78 MW QRPP (3 Yrs Max Power),GAS,,102.4493,0.35,Ghorashal 78 MW QRPP (3 Yrs Max Power),Ghorashal 78 MW QRPP (3 Yrs Max Power),MAX POWER LTD.-GHORASAL,102449279.0,811772815.0,7.92
131,RENTAL & SIPP,Tangail SIPP (22 MW) (Doreen Power Ltd.),GAS,22.0,141.1988,0.73,Tangail SIPP (22 MW) (Doreen Power Ltd.),Tangail SIPP (22 MW) (Doreen Power Ltd.),Doreen Power Generation & System Ltd.- Tangail,151198828.0,432331158.0,2.86
132,RENTAL & SIPP,Feni SIPP (22 MW) (Doreen Power Ltd.),GAS,22.0,160.0048,0.83,Feni SIPP (22 MW) (Doreen Power Ltd.),Feni SIPP (22 MW) (Doreen Power Ltd.),Doreen Power Generation & System Ltd.-Feni,160004772.0,459479489.0,2.87
133,RENTAL & SIPP,Jangalia 33 MW (Summit Purbanchol Po. Co. Ltd.),GAS,33.0,258.2576,0.89,Jangalia 33 MW (Summit Purbanchol Po. Co. Ltd.),Jangalia 33 MW (Summit Purbanchol Po. Co. Ltd.),Summit Purbachal Power Ltd.-Jangalia,258257635.0,941362032.0,3.65
134,RENTAL & SIPP,Ashugonj  55 MW 3Yrs Rental (Precision Energy),GAS,55.0,208.8067,0.43,Ashugonj  55 MW 3Yrs Rental (Precision Energy),Ashugonj  55 MW 3Yrs Rental (Precision Energy),PRECISION ENERGY LTD.,208806744.0,1091909673.0,5.23
135,RENTAL & SIPP,Sahzibazar 86 MW RPP (15 yrs),GAS,86.0,605.4847,0.8,Sahzibazar 86 MW RPP (15 yrs),Sahzibazar 86 MW RPP (15 yrs),SHAHJIBAZAR POWER CO. LTD.,605484672.0,2039822897.0,3.37
136,RENTAL & SIPP,Kumargao 10 MW Desh Combridge (15 Yrs),GAS,10.0,61.4628,0.7,Kumargao 10 MW Desh Combridge (15 Yrs),Kumargao 10 MW Desh Combridge (15 Yrs),"DESH CAMBRIDGE, KUMERGOAN",61412951.0,235977144.0,3.84
137,RENTAL & SIPP,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),GAS,51.0,353.0717,0.79,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),BARKATULLAH ELECTRO DYNAMICS LTD.,353071710.0,1101899564.0,3.12
138,RENTAL & SIPP,Fenchugonj 50 MW Rental (Energy Prima),GAS,,219.7947,0.86,Fenchugonj 50 MW Rental (Energy Prima),Fenchugonj 50 MW Rental (Energy Prima),"ENERGYPRIMA, FENCHUGONJ",208743147.0,681674489.0,3.27
139,RENTAL & SIPP,Barabkundu SIPP 22 MW (Regent Power),GAS,22.0,157.7652,0.82,Barabkundu SIPP 22 MW (Regent Power),Barabkundu SIPP 22 MW (Regent Power),Regent Power Ltd.,157765152.0,463450991.0,2.94
141,RENTAL & SIPP,Bhola 32 MW (Venture Energy Resources Ltd.),GAS,33.0,199.538,0.69,Bhola 32 MW (Venture Energy Resources Ltd.),Bhola 32 MW (Venture Energy Resources Ltd.),"VENTURE ENERGY, BHOLA",199537974.0,796370803.0,3.99
142,RENTAL & SIPP,Shahjahanullah Power Gen Co. Ltd.,GAS,,102.6552,0.47,Shahjahanullah Power Gen Co. Ltd.,Shahjahanullah Power Gen Co. Ltd.,Shahjanullah Power Generation Co. Ltd.,102686146.0,354266198.0,3.45
143,RENTAL & SIPP,Aggreko 95 MW Bhola,GAS,95.0,511.5654,0.61,Aggreko 95 MW Bhola,Aggreko 95 MW Bhola,AGGREKO INTERNATIONAL LTD.-BHOLA (95 MW),559103805.0,2310334606.0,4.13
144,RENTAL & SIPP,KPCL( 115 MW) U-2,F.oil,115.0,433.6464,0.43,KPCL( 115 MW) U-2,KPCL( 115 MW) U-2,KPCL -UNIT-2,433646409.0,4998784772.0,11.53
145,RENTAL & SIPP,Khanjahan Ali Noapara  40 MW,F.oil,,92.2828,0.29,Khanjahan Ali Noapara  40 MW,Khanjahan Ali Noapara  40 MW,KHANJAHAN ALI POWER LTD.,92282785.0,1363243262.0,14.77
146,RENTAL & SIPP,Summit  Power Co. Ltd Madangonj (100 MW),F.oil,102.0,353.3363,0.4,Summit  Power Co. Ltd Madangonj (100 MW),Summit  Power Co. Ltd Madangonj (100 MW),SUMMIT NARAYANGONJ POWER LTD.,353336328.0,3436136533.0,9.72
147,RENTAL & SIPP,"IEL, Meghnaghat 100 MW",F.oil,100.0,270.9907,0.31,"IEL, Meghnaghat 100 MW","IEL, Meghnaghat 100 MW",IELCONSOURTIUM & ASSOCIATES,270990720.0,3813956693.0,14.07
148,RENTAL & SIPP,Shiddirganj  Dutchbangla 100 MW,F.oil,100.0,366.3626,0.42,Shiddirganj  Dutchbangla 100 MW,Shiddirganj  Dutchbangla 100 MW,DUTCH BANGLA POWER & ASSOCIATES LTD.,366362581.0,4588701719.0,12.53
149,RENTAL & SIPP,Amnura 50MW Sinha Power,F.oil,50.0,34.312,0.08,Amnura 50MW Sinha Power,Amnura 50MW Sinha Power,AMNURA(SINHA POWER GENERATION),16256328.0,108212126.0,6.66
150,RENTAL & SIPP,"Power Pac Mutiara,Keranigonj,100MW",F.oil,100.0,217.866,0.25,"Power Pac Mutiara,Keranigonj,100MW","Power Pac Mutiara,Keranigonj,100MW",POWER PAC MUTIARA KERANIGONJ,217866024.0,1792998493.0,8.23
151,RENTAL & SIPP,Julda Acorn Infra.service Ltd.100MW,F.oil,100.0,189.9422,0.22,Julda Acorn Infra.service Ltd.100MW,Julda Acorn Infra.service Ltd.100MW,ACRON INFRASTRUCTURE SERVICE LTD.,189942210.0,3132864948.0,16.49
152,RENTAL & SIPP,Katakhali (Northern) Peaking,F.oil,50.0,21.6708,0.05,Katakhali (Northern) Peaking,Katakhali (Northern) Peaking,NORTHERN POWER,21344414.0,224115126.0,10.5
153,IMPORT,Power Import (Bheramara-Bharampur Phase-1),Import,500.0,1730.726,,Power Import (Bheramara-Bharampur Phase-1),Power Import (Bheramara-Bharampur Phase-1),Power Grid Corporation of India - 250MW,,993616464.0,7.21
154,IMPORT,Import from Tripura (1st Phase),Import,100.0,1028.818,,Import from Tripura (1st Phase),Import from Tripura (1st Phase),NVVN Ltd. - India 160 MW (Tripura),1028817960.0,7420242117.0,3.13
155,IMPORT,Import from Tripura (2nd  Phase),Import,60.0,1023.5395,,Import from Tripura (2nd  Phase),Import from Tripura (2nd  Phase),NVVN Ltd. - India 160 MW (Tripura),1028817960.0,7420242117.0,3.13
156,IMPORT,Power Import (Bheramara-Bharampur Phase-2),Import,300.0,2539.05,,Power Import (Bheramara-Bharampur Phase-2),Power Import (Bheramara-Bharampur Phase-2),NVVN Ltd. - India 300 MW,2539050000.0,14200174815.0,
157,IMPORT,Sembcorp Energy India Ltd.,Import,200.0,1781.223,,Sembcorp Energy India Ltd.,Sembcorp Energy India Ltd.,Sembcrop Energy India Ltd. 250MW,1784173570.0,11905260924.0,
