,plant_name,capacity_mw,start,own_IPP,own_Joint_venture,own_Public,own_RENTAL_SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_SOLAR,fuel_WIND,district_code,units,usage,cost_per_unit,year,fuel_Coal
42,Santahar 50 MW PP,50.0,2012.0,False,False,True,False,False,True,False,False,False,False,bogra,42.8089,0.1,21.57,2021,False
43,Summit  Power Co. Ltd Madangonj (100 MW),102.0,2011.0,False,False,False,True,False,True,False,False,False,False,narayanganj,353.3363,0.4,9.72,2021,False
44,Titas 50 MW Peaking PP,52.0,2011.0,False,False,True,False,False,True,False,False,False,False,comilla,45.1598,0.104,17.0,2021,False
45,Julda Acorn Infra.service Ltd.100MW,100.0,2018.0,False,False,False,True,False,True,False,False,False,False,chattogram,189.9422,0.22,16.49,2021,False
46,Gazipur 52 MW PP,52.0,2012.0,False,False,True,False,False,True,False,False,False,False,gazipur,112.6812,0.255,15.93,2021,False
47,ECPV Chattogram Limited 108 MW,108.0,2019.0,True,False,False,False,False,True,False,False,False,False,chattogram,190.2545,0.2,13.5,2021,False
48,Summit Narayangonj Power unit-2 Madangonj (55 MW),55.0,2016.0,True,False,False,False,False,True,False,False,False,False,narayanganj,259.5017,0.54,11.44,2021,False
49,United Jamalpur PPL,115.0,2019.0,True,False,False,False,False,True,False,False,False,False,jamalpur,538.4717,0.53,12.39,2021,False
50,Desh Energy Chandpur  200 MW,200.0,2018.0,True,False,False,False,False,True,False,False,False,False,chandpur,535.4999,0.31,13.57,2021,False
51,Kodda Gazipur 300MW Power Ltd.(unit-2 Summit),300.0,2018.0,True,False,False,False,False,True,False,False,False,False,gazipur,1280.2528,0.49,10.91,2021,False
52,Digital  Power & Associates Gagnagar,102.0,2014.0,True,False,False,False,False,True,False,False,False,False,narayanganj,325.564,0.36,11.48,2021,False
53,Bhairab Power 54.5 MW,54.0,2021.0,True,False,False,False,False,True,False,False,False,False,kishoreganj,70.3824,0.15,12.48,2021,False
54,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,52.0,2014.0,True,False,False,False,False,True,False,False,False,False,comilla,158.5054,0.35,13.99,2021,False
55,Lobonchora Orion Power Rupsha Ltd. 105 MW,105.0,2018.0,True,False,False,False,False,True,False,False,False,False,khulna,361.1674,0.004,12.7,2021,False
56,Gazipur 100 MW PP,105.0,2019.0,False,False,True,False,False,True,False,False,False,False,gazipur,370.9008,0.41,12.25,2021,False
57,United Anwara 300MW PS,300.0,2019.0,True,False,False,False,False,True,False,False,False,False,chattogram,1195.9981,0.46,11.36,2021,False
58,Confidence CPBL- 2 Bogura,113.0,2019.0,True,False,False,False,False,True,False,False,False,False,bogura,447.8107,0.45,12.52,2021,False
59,Kodda Gazipur 149MW Power Ltd. (unit-1 Summit) ACE Alliance,149.0,2018.0,True,False,False,False,False,True,False,False,False,False,gazipur,791.75,0.61,10.57,2021,False
60,Katakhali (Northern) Peaking,50.0,2012.0,False,False,False,True,False,True,False,False,False,False,rajshahi,21.6708,0.05,10.5,2021,False
61,Dhaka(Doreen) Northern Power Ltd.Manikgonj,55.0,2012.0,True,False,False,False,False,True,False,False,False,False,manikganj,231.8441,0.48,11.39,2021,False
62,Bogura 113 MW PP (Confidence) Unit-1,113.0,2019.0,True,False,False,False,False,True,False,False,False,False,bogura,468.1931,0.47,11.68,2021,False
63,Sharishabari 3 MW Engreen Solar Power Plant,3.0,2017.0,True,False,False,False,False,False,False,False,True,False,jamalpur,3.9442,0.15,16.11,2021,False
64,Dhaka(Doreen) Southern Power Ltd.Nobabgonj,55.0,,True,False,False,False,False,True,False,False,False,False,dhaka,237.8964,0.49,11.28,2021,False
65,Baraka Shikalbaha 105MW PS,105.0,2017.0,True,False,False,False,False,True,False,False,False,False,chattogram,160.1848,0.17,17.38,2021,False
66,Confidence Power  Ltd. 113MW Rangpur,113.0,2019.0,True,False,False,False,False,True,False,False,False,False,rangpur,494.4,0.5,11.47,2021,False
67,Kamalaghat Banco Energy Generation,54.0,2018.0,True,False,False,False,False,True,False,False,False,False,munshiganj,309.349,0.65,11.47,2021,False
68,Tangail Polly Power 22 MW TPPGCl,22.0,2020.0,True,False,False,False,False,True,False,False,False,False,tangail,74.9804,0.39,12.43,2021,False
69,Manikganj 162MW P0wer Generation,162.0,2020.0,True,False,False,False,False,True,False,False,False,False,manikganj,373.1234,0.26,13.55,2021,False
70,Jodiac Power,54.0,2019.0,True,False,False,False,False,True,False,False,False,False,chattogram,276.7625,0.59,11.15,2021,False
71,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,52.0,2012.0,True,False,False,False,False,True,False,False,False,False,natore,146.3081,0.32,12.35,2021,False
72,Baraka Patenga,50.0,2014.0,True,False,False,False,False,True,False,False,False,False,chattogram,198.9216,0.45,11.88,2021,False
73,Karnaphuli Power Ltd.,110.0,2019.0,True,False,False,False,False,True,False,False,False,False,chattogram,87.2665,0.09,25.6,2021,False
74,HF 113 MW Power Limited,113.0,2019.0,True,False,False,False,False,True,False,False,False,False,noakhali,551.0603,0.56,10.8,2021,False
75,Anlima Chattogram 116 MW,116.0,2021.0,True,False,False,False,False,True,False,False,False,False,chattogram,125.1359,0.12,14.3,2021,False
76,Juldha Acorn 100 MW Unit-3,100.0,2020.0,True,False,False,False,False,True,False,False,False,False,chattogram,610.5613,0.7,9.93,2021,False
77,50 MW HDFC Solar Power Plant,50.0,2020.0,True,False,False,False,False,False,False,False,True,False,mymensingh,64.8588,0.15,14.38,2021,False
78,Siddhirganj 2x120 MW GTPP,210.0,2019.0,False,False,True,False,True,False,False,False,False,False,narayanganj,563.9633,0.318,4.78,2021,False
79,"Payra, Potuakhali 2*660 MW PP (U-1)",622.0,2020.0,False,True,False,False,False,False,False,False,False,False,patuakhali,2049.4159,0.397,8.6,2021,True
80,"Payra, Potuakhali 2*660 MW PP (U-2)",622.0,2020.0,False,True,False,False,False,False,False,False,False,False,patuakhali,1762.5061,0.339,8.6,2021,True
81,Orion Power Sonargaon Ltd.,104.0,2020.0,True,False,False,False,False,True,False,False,False,False,narayanganj,451.8127,0.5,11.28,2021,False
82,Amnura 50MW Sinha Power,50.0,2012.0,False,False,False,True,False,True,False,False,False,False,chapainawabganj,34.312,0.08,6.66,2021,False
83,20 MW Solar Teknaf,20.0,2018.0,True,False,False,False,False,False,False,False,True,False,cox,33.4382,0.19,11.8,2021,False
84,Manikganj 35MW Spectra Solar Park Ltd.,35.0,2021.0,True,False,False,False,False,False,False,False,True,False,manikganj,29.1477,0.1,10.36,2021,False
85,Sympa Solar Power 8 MW,8.0,2019.0,True,False,False,False,False,False,False,False,True,False,panchagarh,11.269,0.16,11.04,2021,False
86,Sirajgonj 210 MW CC (NWPGCL) Unit-1,210.0,2012.0,False,False,True,False,True,False,False,False,False,False,sirajgonj,216.5913,0.122,11.01,2021,False
87,Shahazibazar 100 MW GT,100.0,2021.0,False,False,True,False,True,False,False,False,False,False,sylhet,39.4552,0.052,1.89,2021,False
88,Shikalbaha 150 MW Peaking PP,150.0,2010.0,False,False,True,False,True,False,False,False,False,False,chattogram,641.9223,0.505,3.28,2021,False
89,Barapukuria Coal based S/T (unit 3),274.0,2018.0,False,False,True,False,False,False,False,False,False,False,dinajpur,1098.3259,0.518,8.82,2021,True
90,"Barapukuria Coal based S/T (unit 1,2)",250.0,2006.0,False,False,True,False,False,False,False,False,False,False,dinajpur,86.4905,0.078,11.24,2021,True
91, Ashuganj TPP Unit-4,150.0,1987.0,False,False,True,False,True,False,False,False,False,False,brahmanbaria,279.6746,0.261,5.23,2021,False
92, Ashuganj TPP Unit-3,150.0,1987.0,False,False,True,False,True,False,False,False,False,False,brahmanbaria,222.9391,0.209,5.23,2021,False
93, Ashuganj TPP Unit-5,150.0,1988.0,False,False,True,False,True,False,False,False,False,False,brahmanbaria,215.2755,0.202,5.23,2021,False
94,Ashugonj  55 MW 3Yrs Rental (Precision Energy),55.0,2010.0,False,False,False,True,True,False,False,False,False,False,brahmanbaria,208.8067,0.43,5.23,2021,False
95,Summit Meghnaghat Power Co.Ltd.,305.0,2015.0,True,False,False,False,True,False,False,False,False,False,narayanganj,1559.0939,0.58,4.2,2021,False
96,Siddhirganj 335 MW CCPP,335.0,2019.0,False,False,True,False,True,False,False,False,False,False,narayanganj,1042.3959,0.373,3.52,2021,False
97,Bogura RPP (24MW) 15 yrs,22.0,2008.0,False,False,False,True,True,False,False,False,False,False,bogura,167.4902,0.87,,2021,False
98,Regent Energy & Power Ltd 108 MW,108.0,2014.0,True,False,False,False,True,False,False,False,False,False,narsingdi,591.4501,0.63,2.92,2021,False
