,own_x,own_y,plant_name,plant_name_alt,plant,fuel_type_x,fuel_type_y,capacity_mw,capacity,potential_name,potential_cap
31,Public,Public,Siddhirganj 2x120 MW GTPP,EGCB Ltd. (210X2) MW,Raojan 210 MW Unit- 2,GAS,GAS,210.0,210.0,Shahjibazar CCPP,330.0
32,Public,BPDB,Chandpur 150 MW CCPP,Chadpur CC Power Plant,Chandpur 150 MW CC Power Plant,GAS,GAS,163.0,163.0,Chandpur 150 MW CC Power Plant,163.0
33,RENTAL & SIPP,Private,Summit  Power Co. Ltd Madangonj (100 MW),SUMMIT NARAYANGONJ POWER LTD.,Summit_Madubdi_2nd Phase(REB),HFO,GAS,102.0,24.0,Summit_Madubdi_2nd Phase(REB),24.0
34,RENTAL & SIPP,,KPCL( 115 MW) U-2,KPCL -UNIT-2,,HFO,,115.0,,Katakhali 50 MW Q. Rental PP( NPSL),50.0
35,Public,Public,Sirajgonj 210 MW CC (NWPGCL) Unit-1,North West Power Gen (NWPGCL)- Sirajgonj,Raojan 210 MW Unit- 2,GAS,GAS,210.0,210.0,Shirajgonj 6.55 MW Solar PP,6.0
36,RENTAL & SIPP,Private,Sahzibazar 86 MW RPP (15 yrs),SHAHJIBAZAR POWER CO. LTD.,Shahjibazar 86 MW PP (15 Yrs RPP),GAS,GAS,86.0,86.0,Shahjibazar 86 MW PP (15 Yrs RPP),86.0
37,IPP,IPP,Summit   Barishal (110 MW),Summit Barishal Power Ltd.,Chandpur 115 MW Power Plant,HFO,HFO,110.0,115.0,Chandpur 150 MW CC Power Plant,163.0
38,IPP,IPP,Tangail Polly Power 22 MW TPPGCl,Tangail Palli Power Generation Ltd. (22MW),Tangail 22 MW PP (Duel Fuel),HFO,HFO,22.0,22.0,Tongi 105 MW PP,105.0
39,IPP,IPP,United Payra PP Patuakhali Imp,United Payra (150MW),Potuakhali 150 MW PP,HFO,HFO,150.0,150.0,,
40,RENTAL & SIPP,BPDB,"Power Pac Mutiara,Keranigonj,100MW",POWER PAC MUTIARA KERANIGONJ,Baghabari 50 MW Peaking PP,HFO,HFO,100.0,52.0,Baghabari 50 MW Peaking PP,52.0
41,Public,Public, Ashuganj TPP Unit-3,APSCL (Except New 573 MW),Ashuganj 150 MW ST4,GAS,GAS,150.0,150.0,Ashuganj 225 MW CCPP : SC GT Unit,142.0
42,Public,Public, Ashuganj TPP Unit-4,APSCL (Except New 573 MW),Ashuganj 150 MW ST4,GAS,GAS,150.0,150.0,Ashuganj 50 MW Power Plant,53.0
43,Public,Public, Ashuganj TPP Unit-5,APSCL (Except New 573 MW),Ashuganj 150 MW ST5,GAS,GAS,150.0,150.0,Ashuganj 450 MW CCPP (South),360.0
44,Public,NWPGCL,Modhumoti 105 MW NWPGCL,North West Power Gen (NWPGCL)- Madhumati,"Modumoti, Bagerhat 100 MW PP",HFO,HFO,105.0,105.0,Modanganj quick rental PP,102.0
45,IPP,IPP,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,Kushiara Power Company Ltd.,Kushiara 163 MW CCPP,GAS,GAS,163.0,109.0,Kusiara 163 MW CCPP,54.0
46,RENTAL & SIPP,Private,Shiddirganj  Dutchbangla 100 MW,DUTCH BANGLA POWER & ASSOCIATES LTD.,"Siddirganj 100 MW Q.Rental PP
(5 Years, Dutch Bangla Power)",HFO,HFO,100.0,100.0,"Siddirganj 100 MW Q.Rental PP
(5 Years, Dutch Bangla Power)",100.0
