,plant_name,capacity_mw,start,plant_name_x,net_generation_gwh,usage,2021_cost_per_unit,2022_cost_per_unit,2022_units,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_IMPORT,fuel_SOLAR,fuel_WIND,2022_usage,cost_increase,age,diff,log_usage_squared,log_age_squared,log_capacity_mw_squared,log_net_generation_gwh_squared,log_2021_cost_per_unit_squared,log_2022_cost_per_unit_squared,log_2022_usage_squared
15,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,3.9318256327243257,2015.0,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,3.061548103585121,-2.995732273553991,3.654546775033431,2.9745086371023644,25438560.0,True,False,False,False,False,True,False,False,False,False,False,-1.6787120720627398,-19.07,2.0794415416798357,-19.07,-5.991464547107982,4.1588830833596715,7.8636512654486515,6.123096207170242,7.309093550066862,5.949017274204729,-3.3574241441254795
16,Manikganj 35MW Spectra Solar Park Ltd.,3.5553480614894135,2021.0,Manikganj 35MW Spectra Solar Park Ltd.,3.372376007453711,-2.3025850929940455,2.337952236831337,2.481567748522486,52473009.0,True,False,False,False,False,False,False,False,False,True,False,-1.4383743521935135,1.6000000000000014,0.6931471805599453,1.6000000000000014,-4.605170185988091,1.3862943611198906,7.110696122978827,6.744752014907422,4.675904473662674,4.963135497044972,-2.876748704387027
17,Bhola 32 MW (Venture Energy Resources Ltd.),3.4965075614664802,2009.0,Bhola 32 MW (Venture Energy Resources Ltd.),5.296004694382108,-0.37106368139083207,1.3837912309017721,1.2669476034873244,189564498.0,False,False,False,True,True,False,False,False,False,False,False,-0.7920821885445696,-0.4400000000000004,2.6390573296152584,-0.4400000000000004,-0.7421273627816641,5.278114659230517,6.9930151229329605,10.592009388764216,2.7675824618035443,2.5338952069746488,-1.5841643770891392
18,Bogura RPP (24MW) 15 yrs,3.091042453358316,2008.0,Bogura RPP (24MW) 15 yrs,5.1209248420908065,-0.13926206733350766,0.0,1.4085449700547104,167469576.0,False,False,False,True,True,False,False,False,False,False,False,-0.6121015489893087,0.0,2.70805020110221,0.0,-0.27852413466701526,5.41610040220442,6.182084906716632,10.241849684181613,0.0,2.8170899401094207,-1.2242030979786174
19,"Baghabari 71 MW /GT
Baghabari 100 MW /GT",4.2626798770413155,1991.0,"Baghabari 71 MW /GT
Baghabari 100 MW /GT",4.053772536457053,-1.7147984280919266,2.1983350716202463,7.409741954080923,51893680.0,False,False,True,False,True,False,False,False,False,False,False,-1.615775678892987,1642.99,3.4657359027997265,1642.99,-3.4295968561838532,6.931471805599453,8.525359754082631,8.107545072914107,4.396670143240493,14.819483908161846,-3.231551357785974
20,Power Import (Bheramara-Bharampur Phase-1),6.214608098422191,2018.0,Power Import (Bheramara-Bharampur Phase-1),7.4562962526412475,0.0,1.9754689512968577,0.0,0.0,False,False,False,False,False,False,False,False,True,False,False,0.0,0.0,1.6094379124341003,0.0,0.0,3.2188758248682006,12.429216196844383,14.912592505282495,3.9509379025937155,0.0,0.0
21,Faridpur 50 MW Peaking PP,3.9889840465642745,2011.0,Faridpur 50 MW Peaking PP,2.7436039427156684,-3.2968373663379125,3.849296175519841,3.0411835364579085,42848640.0,False,False,True,False,False,True,False,False,False,False,False,-1.6005287098970604,-26.03,2.4849066497880004,-26.03,-6.593674732675826,4.969813299576001,7.977968093128549,5.487207885431337,7.698592351039682,6.082367072915817,-3.201057419794121
22,Jangalia 33 MW (Summit Purbanchol Po. Co. Ltd.),3.4965075614664802,2009.0,Jangalia 33 MW (Summit Purbanchol Po. Co. Ltd.),5.553957536414743,-0.11653381625595151,1.2947271675944,1.4011829736136412,232729909.0,False,False,False,True,True,False,False,False,False,False,False,-0.6551415828953695,0.4099999999999997,2.6390573296152584,0.4099999999999997,-0.23306763251190302,5.278114659230517,6.9930151229329605,11.107915072829487,2.5894543351888,2.8023659472272824,-1.310283165790739
23,210 MW Shiddirganj TPP,5.3471075307174685,2019.0,210 MW Shiddirganj TPP,0.0,0.0,0.0,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,0.0,0.0,1.3862943611198906,0.0,0.0,2.772588722239781,10.694215061434937,0.5046278572279791,0.0,0.0,0.0
26,Siddhirganj 2x120 MW GTPP,5.3471075307174685,2019.0,Siddhirganj 2x120 MW GTPP,6.334989178458869,-1.1457038962019601,1.5644405465033646,2.642622395779755,116096664.0,False,False,True,False,True,False,False,False,False,False,False,-1.661738359773236,9.27,1.3862943611198906,9.27,-2.2914077924039202,2.772588722239781,10.694215061434937,12.669978356917738,3.1288810930067292,5.28524479155951,-3.323476719546472
