,plant_name,plant_name_x,2022_usage,capacity_mw,start,net_generation_gwh,usage,2021_cost_per_unit,2022_cost_per_unit,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_SOLAR,fuel_WIND
34,50 MW HDFC Solar Power Plant,50 MW HDFC Solar Power Plant,21,50,2020,64.8588,0.15,14.38,14.7,True,False,False,False,False,False,False,False,True,False
54,Baraka Patenga,Baraka Patenga,51,50,2014,198.9216,0.45,11.88,15.55,True,False,False,False,False,True,False,False,False,False
83,Santahar 50 MW PP,Santahar 50 MW PP,15.9,50,2012,42.8089,0.1,21.57,19.57,False,False,True,False,False,True,False,False,False,False
15,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,5.7,51,2015,21.3606,0.05,38.65,19.58,True,False,False,False,False,True,False,False,False,False
32,Midland Power Co. Ashuganj 51 MW,Midland Power Co. Ashuganj 51 MW,83,51,2013,294.124,0.66,3.16,2.75,True,False,False,False,True,False,False,False,False,False
109,Titas 50 MW Peaking PP,Titas 50 MW Peaking PP,23.3,52,2011,45.1598,0.104,17,18.5855546668254,False,False,True,False,False,True,False,False,False,False
12,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,48,52,2014,158.5054,0.35,13.99,16.83,True,False,False,False,False,True,False,False,False,False
13,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,52,52,2012,146.3081,0.32,12.35,15.58,True,False,False,False,False,True,False,False,False,False
14,Gazipur 52 MW PP,Gazipur 52 MW PP,47.3,52,2012,112.6812,0.255,15.93,18.11,False,False,True,False,False,True,False,False,False,False
55,Baghabari 50 MW Peaking RE,Baghabari 50 MW Peaking RE,23.8,52,1991,85.4892,0.191,14.52,1926,False,False,True,False,False,True,False,False,False,False
10,Ashuganj 50 MW PP,Ashuganj 50 MW PP,50.9,53,1986,184.7955,0.483,2.38,2.14,False,False,True,False,True,False,False,False,False,False
21,Faridpur 50 MW Peaking PP,Faridpur 50 MW Peaking PP,9.7,54,2011,15.5429,0.037,46.96,20.93,False,False,True,False,False,True,False,False,False,False
53,Bhairab Power 54.5 MW,Bhairab Power 54.5 MW,42,54,2021,70.3824,0.15,12.48,16.95,True,False,False,False,False,True,False,False,False,False
66,Kamalaghat Banco Energy Generation,Kamalaghat Banco Energy Generation,80,54,2018,309.349,0.65,11.47,15.83,True,False,False,False,False,True,False,False,False,False
22,Jodiac Power,Jodiac Power,68,54,2019,276.7625,0.59,11.15,15.7,True,False,False,False,False,True,False,False,False,False
19,Dhaka(Doreen) Northern Power Ltd.Manikgonj,Dhaka(Doreen) Northern Power Ltd.Manikgonj,62,55,2012,231.8441,0.48,11.39,16.48,True,False,False,False,False,True,False,False,False,False
21,Summit Narayangonj Power unit-2 Madangonj (55 MW),Summit Narayangonj Power unit-2 Madangonj (55 MW),60,55,2016,259.5017,0.54,11.44,17.29,True,False,False,False,False,True,False,False,False,False
23,Dhaka(Doreen) Southern Power Ltd.Nobabgonj,Dhaka(Doreen) Southern Power Ltd.Nobabgonj,64,55,,237.8964,0.49,11.28,16.2,True,False,False,False,False,True,False,False,False,False
51,"Shahjibazar 70 MW GT, Habiganj","Shahjibazar 70 MW GT, Habiganj",72.3,70,2000,361.4274,0.628,3.64,3.04,False,False,True,False,True,False,False,False,False,False
19,"Baghabari 71 MW /GT
Baghabari 100 MW /GT","Baghabari 71 MW /GT
Baghabari 100 MW /GT",8.6,71,1991,57.6144,0.18,9.01,1652,False,False,True,False,True,False,False,False,False,False
84,Bera 70 MW Peaking RE,Bera 70 MW Peaking RE,9.9,71,2011,31.2907,0.052,32.75,2259,False,False,True,False,False,True,False,False,False,False
1,Powerpac Mutiara Jamalpur Power plant Ltd,Powerpac Mutiara Jamalpur Power plant Ltd,2,95,,289.7374,0.35,11.28,22.02,True,False,False,False,False,True,False,False,False,False
85,Fenchuganj C.C. (Unit #1),Fenchuganj C.C. (Unit #1),49.4,97,1994,396.7305,0.662,3.61,3.12,False,False,True,False,True,False,False,False,False,False
107,Hathazari 100 MW Peaking PP,Hathazari 100 MW Peaking PP,3.4,98,2011,-0.8567,0.001,,31.67,False,False,True,False,False,True,False,False,False,False
55,Noapara100MW (Bangla Trac),Noapara100MW (Bangla Trac),12,100,2018,122.2197,0.14,31.38,36.28,True,False,False,False,False,False,True,False,False,False
72,Juldha Acorn 100 MW Unit-3,Juldha Acorn 100 MW Unit-3,67,100,2020,610.5613,0.7,9.93,15.09,True,False,False,False,False,True,False,False,False,False
108,Shahazibazar 100 MW GT,Shahazibazar 100 MW GT,7.3,100,2021,39.4552,0.052,1.89,8.98,False,False,True,False,True,False,False,False,False,False
16,"Aggreko, Brahmangaon 100MW","Aggreko, Brahmangaon 100MW",14,100,2019,28.8673,0.03,76.01,35.24,True,False,False,False,False,False,True,False,False,False
17,"Aggreko, Aourahati 100MW","Aggreko, Aourahati 100MW",15,100,2020,37.1663,0.04,64.13,33.58,True,False,False,False,False,False,True,False,False,False
70,Digital  Power & Associates Gagnagar,Digital  Power & Associates Gagnagar,49,102,2014,325.564,0.36,11.48,16.96,True,False,False,False,False,True,False,False,False,False
86,"Sangu, Dohazari-kaliaish 100 MW PPP","Sangu, Dohazari-kaliaish 100 MW PPP",15.2,102,2011,203.2578,0.234,13.4,19Jl4,False,False,True,False,False,True,False,False,False,False
71,Orion Power Sonargaon Ltd.,Orion Power Sonargaon Ltd.,70,104,2020,451.8127,0.5,11.28,13.19,True,False,False,False,False,True,False,False,False,False
100,"Chapainobabgonj Peaking Power Station 100 MW, Amnura","Chapainobabgonj Peaking Power Station 100 MW, Amnura",28.3,104,2017,259.43144,0.291,12.5,23.03,False,False,True,False,False,True,False,False,False,False
52,Fenchuganj C.C. (Unit #2),Fenchuganj C.C. (Unit #2),34.3,104,1994,240.2846,0.34,3.61,3.12,False,False,True,False,True,False,False,False,False,False
49,Modhumoti 105 MW NWPGCL,Modhumoti 105 MW NWPGCL,11,105,2019,12.4258,0.015,127.97,28.45,False,False,True,False,False,True,False,False,False,False
75,Lobonchora Orion Power Rupsha Ltd. 105 MW,Lobonchora Orion Power Rupsha Ltd. 105 MW,59,105,2018,361.1674,0.004,12.7,16.73,True,False,False,False,False,True,False,False,False,False
105,Tongi 80 MW GTPP,Tongi 80 MW GTPP,0,105,2005,-0.2004,,,,False,False,True,False,True,False,False,False,False,False
32,Gazipur 100 MW PP,Gazipur 100 MW PP,58.2,105,2019,370.9008,0.41,12.25,16.68,False,False,True,False,False,True,False,False,False,False
34,Baraka Shikalbaha 105MW PS,Baraka Shikalbaha 105MW PS,66,105,2017,160.1848,0.17,17.38,16.07,True,False,False,False,False,True,False,False,False,False
69,ECPV Chattogram Limited 108 MW,ECPV Chattogram Limited 108 MW,43,108,2019,190.2545,0.2,13.5,17.58,True,False,False,False,False,True,False,False,False,False
110,CLC Power Co. Ltd. 108 MW Bosila Keranigonj,CLC Power Co. Ltd. 108 MW Bosila Keranigonj,0,108,2017,0,0,,,True,False,False,False,False,True,False,False,False,False
5,Regent Energy & Power Ltd 108 MW,Regent Energy & Power Ltd 108 MW,38,108,2014,591.4501,0.63,2.92,4.08,True,False,False,False,True,False,False,False,False,False
103,Gopalganj 100 MW Peaking PP,Gopalganj 100 MW Peaking PP,2.2,109,2011,4.1326,0.007,218.79,51.49,False,False,True,False,False,True,False,False,False,False
10,Summit   Barishal (110 MW),Summit   Barishal (110 MW),6.5,110,2016,218.6086,0.23,14.49,36.85,True,False,False,False,False,True,False,False,False,False
37,Karnaphuli Power Ltd.,Karnaphuli Power Ltd.,72,110,2019,87.2665,0.09,25.6,15.47,True,False,False,False,False,True,False,False,False,False
73,HF 113 MW Power Limited,HF 113 MW Power Limited,58,113,2019,551.0603,0.56,10.8,15.41,True,False,False,False,False,True,False,False,False,False
35,Confidence Power  Ltd. 113MW Rangpur,Confidence Power  Ltd. 113MW Rangpur,63,113,2019,494.4,0.5,11.47,16.03,True,False,False,False,False,True,False,False,False,False
36,Bogura 113 MW PP (Confidence) Unit-1,Bogura 113 MW PP (Confidence) Unit-1,62,113,2019,468.1931,0.47,11.68,16.46,True,False,False,False,False,True,False,False,False,False
39,Confidence CPBL- 2 Bogura,Confidence CPBL- 2 Bogura,66,113,2019,447.8107,0.45,12.52,16.56,True,False,False,False,False,True,False,False,False,False
38,United Jamalpur PPL,United Jamalpur PPL,62,115,2019,538.4717,0.53,12.39,17.25,True,False,False,False,False,True,False,False,False,False
77,Anlima Chattogram 116 MW,Anlima Chattogram 116 MW,74,116,2021,125.1359,0.12,14.3,15.18,True,False,False,False,False,True,False,False,False,False
76,Kodda 150 MW PP,Kodda 150 MW PP,,149,2018,387.4975,0.308,15.1,19.84,False,False,True,False,False,True,False,False,False,False
