,est,own,plant_name,capacity_mw,costs_p1,costs_p2
7,,PUBLIC,Haripur GTPP,32,,Sbu Haripur (BPDB Book Costs)
85,,IPP,Haripur Power Ltd.,360,Haripur Power Ltd.,1
21,,PUBLIC,Hathazari 100 MW Peaking PP,98,Hathazari Peacking Power Plant,1
123,,IPP,HF 113 MW Power Limited,113,HF Power Company Limited,1
164,,RENTAL/SIPP,"IEL, Meghnaghat 100 MW",100,IELCONSOURTIUM & ASSOCIATES,1
172,,IMPORT,Import from Tripura (1st Phase),100,,NVVN Ltd. - India 160 MW (Tripura)
173,,IMPORT,Import from Tripura (2nd  Phase),60,,NVVN Ltd. - India 160 MW (Tripura)
150,,RENTAL/SIPP,Jangalia 33 MW (Summit Purbanchol Po. Co. Ltd.),33,Summit Purbachal Power Ltd.-Jangalia,1
119,,IPP,Jodiac Power,54,Zodiac Power Ctg. Ltd.,1
124,,IPP,Julda 100 MW Unit - 2 (Acorn ),100,,Acron Infrastructure Services Ltd. Unit-2
168,,RENTAL/SIPP,Julda Acorn Infra.service Ltd.100MW,100,ACRON INFRASTRUCTURE SERVICE LTD.,1
112,,IPP,Juldha Acorn 100 MW Unit-3,100,,Acron Infracture Service Ltd. (Unit-3)
106,,IPP,Kamalaghat Banco Energy Generation,54,M/S Banco Energy Generation Ltd.,1
28,,PUBLIC,Kaptai Solar,7,7.4 MW Solar Pv Power Plant At Kaptai,1
16,,PUBLIC,Karnafuli Hydro,230,Karnafuli Hydro Power Station,1
120,,IPP,Karnaphuli Power Ltd.,110,Karnaphuli Power Ltd.,1
169,,RENTAL/SIPP,Katakhali (Northern) Peaking,50,NORTHERN POWER,1
66,,PUBLIC,Katakhali 50 MW PP,50,Katakhali 50MW Power Plant,1
162,,RENTAL/SIPP,Khanjahan Ali Noapara  40 MW,,KHANJAHAN ALI POWER LTD.,1
50,,PUBLIC,Khulna 225 MW (NWPGCL),230,,North West Power Gen (NWPGCL)- Khulna
12,,PUBLIC,Kodda 150 MW PP,149,,BPDB RPCL PowerGen Ltd.
109,,IPP,Kodda Gazipur 149MW Power Ltd. (unit-1 Summit) ACE Alliance,149,ACE Alliance Power Ltd. (149MW) (Summit Gazipur),1
107,,IPP,Kodda Gazipur 300MW Power Ltd.(unit-2 Summit),300,Summit Gazipur II Power Ltd. - Kodda (300MW),1
161,,RENTAL/SIPP,KPCL( 115 MW) U-2,115,KPCL -UNIT-2,1
153,,RENTAL/SIPP,Kumargao 10 MW Desh Combridge (15 Yrs),10,"DESH CAMBRIDGE, KUMERGOAN",1
90,,IPP,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,163,Kushiara Power Company Ltd.,1
27,,PUBLIC,Kutubdia 900KW Wind PP,0,"Wind Base Power Station, Kutubdia & Hatiya",1
98,,IPP,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,52,,Lakdhanvi Bangla Power Ltd.
110,,IPP,Lobonchora Orion Power Rupsha Ltd. 105 MW,105,Orion Power Rupsha Ltd. - Khulna (105MW),1
157,,RENTAL/SIPP,"Malancha, EPZ, Ctg",,,0
125,,IPP,Manikganj 162MW P0wer Generation,162,Manikgonj Power Generations Limited (162MW),1
141,,IPP,Manikganj 35MW Spectra Solar Park Ltd.,35,Spectra Solar Park,1
86,,IPP,Meghnaghat Power Ltd.,450,Meghnaghat Power Ltd.,1
83,,IPP,Midland Power Co. Ashuganj 51 MW,51,,Midland Power Company Ltd.
