,own,plant_name_x,fuel_type,capacity_mw,net_generation_gwh,usage,match_name_plants,plant_name_y,costs_name,2021_units,2021_amount,2021_cost_per_unit,2022_units,2022_amount,2022_cost_per_unit,costs_name_2022
67,IPP,Midland Power Co. Ashuganj 51 MW,GAS,51,294.124,0.66,Midland Power Co. Ashuganj 51 MW,Midland Power Co. Ashuganj 51 MW,Midland Power Company Ltd.,294124026,930353155,3.16,370760585,1021219011,2.75,
134,RENTAL & SIPP,Ashugonj  55 MW 3Yrs Rental (Precision Energy),GAS,55,208.8067,0.43,Ashugonj  55 MW 3Yrs Rental (Precision Energy),Ashugonj  55 MW 3Yrs Rental (Precision Energy),PRECISION ENERGY LTD.,208806744,1091909673,5.23,276586308,1257886706,4.55,
143,RENTAL & SIPP,Aggreko 95 MW Bhola,GAS,95,511.5654,0.61,Aggreko 95 MW Bhola,Aggreko 95 MW Bhola,AGGREKO INTERNATIONAL LTD.-BHOLA (95 MW),559103805,2310334606,4.13,103561853,1327286944,"12,82",
62,IPP,50 MW HDFC Solar Power Plant,Solar,50,64.8588,0.15,,,HDFC SinPower Ltd. (50MW),61439464,883676770,14.38,92430240,1358708897,14.7,HDFC SinPower Ltd.(50MW)
71,IPP,Regent Energy & Power Ltd 108 MW,GAS,108,591.4501,0.63,Regent Energy & Power Ltd 108 MW,Regent Energy & Power Ltd 108 MW,Regent Energy & Power Ltd.,591450096,1726171586,2.92,360724103,1472507201,4.08,
20,Public,RPCL Raozan 25 MW,F.Oil,25,68.4048,0.321,RPCL Raozan 25 MW,RPCL Raozan 25 MW,RPCL 25MW Rawjan,68409238,932009423,13.62,80466131,1502164876,18.67,
7,Public,Siddhirganj 2x120 MW GTPP,Gas,210,563.9633,0.318,,,EGCB Ltd. (210X2) MW,563946120,2694566404,4.78,116096664,1631192273,14.05,EGCB Ltd.(21OX2)MW
32,Public,Chandpur 150 MW CCPP,Gas,163,596.5169,0.441,Chandpur 150 MW CCPP,Chandpur 150 MW CCPP,Chadpur CC Power Plant,596516880,2118526788,3.55,726768536,2057993424,223,
146,RENTAL & SIPP,Summit  Power Co. Ltd Madangonj (100 MW),F.oil,102,353.3363,0.4,Summit  Power Co. Ltd Madangonj (100 MW),Summit  Power Co. Ltd Madangonj (100 MW),SUMMIT NARAYANGONJ POWER LTD.,353336328,3436136533,9.72,109319891,2100228103,19.21,
144,RENTAL & SIPP,KPCL( 115 MW) U-2,F.oil,115,433.6464,0.43,KPCL( 115 MW) U-2,KPCL( 115 MW) U-2,KPCL -UNIT-2,433646409,4998784772,11.53,107420657,2138624001,19.91,
51,Public,Sirajgonj 210 MW CC (NWPGCL) Unit-1,Gas,210,216.5913,0.122,Sirajgonj 210 MW CC (NWPGCL) Unit-1,Sirajgonj 210 MW CC (NWPGCL) Unit-1,North West Power Gen (NWPGCL)- Sirajgonj,216329490,2382001459,11.01,224720935,2148277482,9.56,
65,RENTAL & SIPP,Sahzibazar 86 MW RPP (15 yrs),GAS,86,605.4847,0.8,,,SHAHJIBAZAR POWER CO. LTD.,605484672,2039822897,3.37,619933776,2194442394,3.54,SHAHJIBAZARPOWER CO.LTD.
84,IPP,Summit   Barishal (110 MW),F.Oil,110,218.6086,0.23,Summit   Barishal (110 MW),Summit   Barishal (110 MW),Summit Barishal Power Ltd.,218608608,3167467899,14.49,62791776,2313583188,36.85,
54,IPP,Tangail Polly Power 22 MW TPPGCl,F.Oil,22,74.9804,0.39,,,Tangail Palli Power Generation Ltd. (22MW),71669647,890544548,12.43,149421480,2365086053,15.83,Tangail Palli Power Generation Ltd.(22MW)
114,IPP,United Payra PP Patuakhali Imp,F.Oil,150,33.4596,0.03,United Payra PP Patuakhali Imp,United Payra PP Patuakhali Imp,United Payra (150MW),33419172,1077171595,32.23,76919436,2502197530,32.53,
150,RENTAL & SIPP,"Power Pac Mutiara,Keranigonj,100MW",F.oil,100,217.866,0.25,"Power Pac Mutiara,Keranigonj,100MW","Power Pac Mutiara,Keranigonj,100MW",POWER PAC MUTIARA KERANIGONJ,217866024,1792998493,8.23,91903200,2515217918,27.37,
25,Public, Ashuganj TPP Unit-3,Gas,150,222.9391,0.209,Ashuganj TPP Unit-3,Ashuganj TPP Unit-3,APSCL (Except New 573 MW),711938656,3725662841,5.23,347574918,2516021467,7.24,
26,Public, Ashuganj TPP Unit-4,Gas,150,279.6746,0.261,Ashuganj TPP Unit-4,Ashuganj TPP Unit-4,APSCL (Except New 573 MW),711938656,3725662841,5.23,347574918,2516021467,7.24,
27,Public, Ashuganj TPP Unit-5,Gas,150,215.2755,0.202,Ashuganj TPP Unit-5,Ashuganj TPP Unit-5,APSCL (Except New 573 MW),711938656,3725662841,5.23,347574918,2516021467,7.24,
48,Public,Modhumoti 105 MW NWPGCL,F.Oil,105,12.4258,0.015,Modhumoti 105 MW NWPGCL,Modhumoti 105 MW NWPGCL,North West Power Gen (NWPGCL)- Madhumati,11607408,1485423700,127.97,98005392,2787875557,28.45,
74,IPP,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,GAS,163,1065.5715,0.75,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,Kushiara Power Company Ltd.,1065571452,3184203020,2.99,1038532925,3185653217,3.07,
70,RENTAL & SIPP,Shiddirganj  Dutchbangla 100 MW,F.oil,100,366.3626,0.42,,,DUTCH BANGLA POWER & ASSOCIATES LTD.,366362581,4588701719,12.53,161026042,3250631030,20.19,DUTCH BANGLA POWER& ASSOCIATES LTD.
69,IPP,Haripur Power Ltd.,GAS,360,2315.379,0.73,Haripur Power Ltd.,Haripur Power Ltd.,Haripur Power Ltd.,2315379010,3878445190,1.68,1919174000,3267873587,1.7,
