,own,plant_name_x,fuel_type,capacity_mw,net_generation_gwh,usage,match_name_plants,plant_name_y,costs_name,2021_units,2021_amount,2021_cost_per_unit,2022_units,2022_amount,2022_cost_per_unit,costs_name_2022
74,IMPORT,Sembcorp Energy India Ltd.,Import,200,1781.223,,,,Sembcrop Energy India Ltd. 250MW,1784173570,11905260924,,1906341720,13839173137,-,Sembcrop Energy India Ltd.2SOMW
73,IMPORT,Power Import (Bheramara-Bharampur Phase-2),Import,300,2539.05,,,,NVVN Ltd. - India 300 MW,2539050000,14200174815,,2548677500,15199300879,,NWN Ltd.- India 300 MW
109,IPP,Manikganj 162MW P0wer Generation,F.Oil,162,373.1234,0.26,Manikganj 162MW P0wer Generation,Manikganj 162MW P0wer Generation,Manikgonj Power Generations Limited (162MW),344555626,4667375064,13.55,1041083049,16458006350,15.81,
38,IPP,United Power Co. Ltd.200 MW Exp,GAS,195,145.6385,0.09,,,United Mymensingh Power Ltd. (200MW),1019821200,11669327634,11.44,1052002800,17447304343,16.58,United Mymensingh Power Ltd.(200MW)
44,IPP,United Mymensing Power(UMPL) 200MW Generation,F.Oil,200,1019.8212,0.58,,,United Mymensingh Power Ltd. (200MW),1019821200,11669327634,11.44,1052002800,17447304343,16.58,United Mymensingh Power Ltd.(200MW)
43,IPP,Kodda Gazipur 300MW Power Ltd.(unit-2 Summit),F.Oil,300,1280.2528,0.49,,,Summit Gazipur II Power Ltd. - Kodda (300MW),1280252848,13968072079,10.91,1421077329,24417833567,17.18,Summit Gazipur II Power Ltd.- Kodda (300MW)
101,IPP,United Anwara 300MW PS,F.Oil,300,1195.9981,0.46,United Anwara 300MW PS,United Anwara 300MW PS,United - Anawara (300MW),1195998078,13588011751,11.36,1677406561,27943395632,16.66,
35,Joint venture,"Payra, Potuakhali 2*660 MW PP (U-1)",COAL,622,2049.4159,0.397,,,Bangladsh -China Power Company (Pvt.) Ltd. 1320MW,3811921991,32764848584,8.6,3998490350,55395607066,13.85,Bangladsh -ChinaPower Company (Pvt.ILtd.1320MW
36,Joint venture,"Payra, Potuakhali 2*660 MW PP (U-2)",,622,1762.5061,0.339,,,Bangladsh -China Power Company (Pvt.) Ltd. 1320MW,3811921991,32764848584,8.6,3998490350,55395607066,13.85,Bangladsh -ChinaPower Company (Pvt.ILtd.1320MW
130,RENTAL & SIPP,Ghorashal 78 MW QRPP (3 Yrs Max Power),GAS,,102.4493,0.35,Ghorashal 78 MW QRPP (3 Yrs Max Power),Ghorashal 78 MW QRPP (3 Yrs Max Power),MAX POWER LTD.-GHORASAL,102449279,811772815,7.92,,-,-,
137,RENTAL & SIPP,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),GAS,51,353.0717,0.79,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),BARKATULLAH ELECTRO DYNAMICS LTD.,353071710,1101899564,3.12,,-,,
54,Public,Santahar 50 MW PP,F.Oil,50,42.8089,0.1,Santahar 50 MW PP,Santahar 50 MW PP,Shantahar 50MW Power Plant,42808887,923423783,21.57,68351477,"1,337,679,(IJO",19.57,
53,Public,Bera 70 MW Peaking RE,F.Oil,71,31.2907,0.052,Bera 70 MW Peaking RE,Bera 70 MW Peaking RE,Bera Peacking Power Plant,31290740,1024671785,32.75,148245,"1,isa463))4",2259,
18,Public,"Shahjibazar 70 MW GT, Habiganj",Gas,70,361.4274,0.628,,,Shahjibazar Power Station,361427444,1315252227,3.64,416665550,"1)67,400,786",3.04,ShahjibazarPowerStation
20,Public,Fenchuganj C.C. (Unit #1),Gas,97,396.7305,0.662,,,Fenchuganj 2x 90 MW CCPP (1st & 2nd Unit),637015112,2302166239,3.61,"5 ,062,078","1/Ri,,677,007",3.12,Fenchuganj 2x90 MWCcpp(1st& 2nd Unit)
21,Public,Fenchuganj C.C. (Unit #2),Gas,104,240.2846,0.34,,,Fenchuganj 2x 90 MW CCPP (1st & 2nd Unit),637015112,2302166239,3.61,"5 ,062,078","1/Ri,,677,007",3.12,Fenchuganj 2x90 MWCcpp(1st& 2nd Unit)
14,Public,Karnafuli Hydro,Hydro,230,654.9908,0.326,Karnafuli Hydro,Karnafuli Hydro,Karnafuli Hydro Power Station,654990772,1964677501,3,743538106,"2,00l\941,837",2.7,
19,Public,"Sangu, Dohazari-kaliaish 100 MW PPP",F.Oil,102,203.2578,0.234,"Sangu, Dohazari-kaliaish 100 MW PPP","Sangu, Dohazari-kaliaish 100 MW PPP",Dohazari Peacking Power Plant,203257800,2723891885,13.4,"131/392,360","2,614812,)17",19Jl4,
11,Public,Rauzan 210 MW /ST (1st),Gas,210,403.4491,0.297,,,"Chittagong Power Station, Rawzan",403449100,2099326841,5.2,500551576,"2,70&419,i1))",423,"Chittagong PowerStation, Rawzan"
12,Public,Rauzan 210 MW /ST (2nd),Gas,210,0,,,,"Chittagong Power Station, Rawzan",403449100,2099326841,5.2,500551576,"2,70&419,i1))",423,"Chittagong PowerStation, Rawzan"
22,Public,Bibiana III 400 MW CCPP,Gas,400,1839.712,0.549,,,Bibiyana-3 400MW,1839712000,3754277784,2.04,2139346500,"2,840,470,9'!4",133,Bibiyana-3400MW
39,Public,Sylhet 225 MW CCPP,Gas,231,1075.5239,0.548,Sylhet 225 MW CCPP,Sylhet 225 MW CCPP,Sylhet 225 MW Peaking Power Plant,1075523895,3169637650,2.95,"1).94,125,009","2,884828,271",213,
27,Public,Baghabari 50 MW Peaking RE,F.Oil,52,85.4892,0.191,,,Baghabari 50 Peaking Power Plant,85489209,1241686821,14.52,106132634,"2,Q,¾545,547",1926,Baghabari SO Peaking Power Plant
33,Public,Saidpur 20 MW /GT,HSD,20,2.0647,0.013,,,Sayedpur Gas Turbine Power Station,2064740,197112122,95.47,1171640,"21{378,(IJ5",182.97,Sayedpur GasTurbine Power Station
38,Public,Sylhet 1x20 MW /GT,Gas,20,111.0293,0.637,Sylhet 1x20 MW /GT,Sylhet 1x20 MW /GT,Kumergoan Gt Power Sylhet,111029330,419366446,3.78,65637000,"234431,3)0",3.6,
24,Public,Bheramara GT unit-3,HSD,20,-0.1532,0,,,Bheramara Power Station,-153245,215299420,,-113167,"261,169)91",,Bheramara PowerStation
0,Public, Ghorasal Repowered CCPP Unit-3,Gas,260,47.1487,0.023,,,Ghorashal Power Station 630MW,1319311198,4128006661,3.13,4491600,"3,06).796,623",68129,Ghorashal Power Station (Unit 3)
1,Public, Ghorasal Repowered CCPP Unit-4,Gas,210,280.5226,0.197,,,Ghorashal Power Station 630MW,1319311198,4128006661,3.13,4491600,"3,06).796,623",68129,Ghorashal Power Station (Unit 3)
2,Public, Ghorasal TPP Unit-5,Gas,210,963.6894,0.62,,,Ghorashal Power Station 630MW,1319311198,4128006661,3.13,4491600,"3,06).796,623",68129,Ghorashal Power Station (Unit 3)
3,Public, Ghorasal TPP Unit-6,Gas,0,-2.206,,,,Ghorashal Power Station 630MW,1319311198,4128006661,3.13,4491600,"3,06).796,623",68129,Ghorashal Power Station (Unit 3)
4,Public,Ghorasal 365 MW CCPP Unit-7,Gas,365,1315.1245,0.434,,,Ghorashal Power Station 365MW,1315124459,4406810035,3.35,4491600,"3,06).796,623",68129,Ghorashal Power Station (Unit 3)
42,Public,Bibiyana - South  383 MW CCPP,Gas,383,1351.3021,0.406,Bibiyana - South  383 MW CCPP,Bibiyana - South  383 MW CCPP,Bibiyana - South,1351302135,2630938263,1.95,2522746430,"4,67 58,i'JS",JBS,
19,Public,Shahjibazar 330 MW CCPP,Gas,330,1505.2982,0.546,,,Shahjibazar 330 CCPP,1505298191,4270031976,2.84,1079194056,"5,221(l92,173",4B4,Shahjibazar330 CCPP
28,Public,"Chapainobabgonj Peaking Power Station 100 MW, Amnura",F.Oil,104,259.43144,0.291,,,Chapainobabgonj Peaking Pp 100 MW Amnura,259431440,3242149031,12.5,251354160,"5,7Bal44,4&4",23.03,Chapainobabgonj Peaking PP100 MWAmnura
30,Public,"Barapukuria Coal based S/T (unit 1,2)",COAL,250,86.4905,0.078,,,Barapukuria Power Station 1,86490537,971847293,11.24,1094796315,"8,894769,673",8.13,Barapukuria PowerStation
32,Public,Barapukuria Coal based S/T (unit 3),COAL,274,1098.3259,0.518,,,Barapukuria Power Station 2,1098325916,9681794240,8.82,1094796315,"8,894769,673",8.13,Barapukuria PowerStation
47,Public,Gopalganj 100 MW Peaking PP,F.Oil,109,4.1326,0.007,Gopalganj 100 MW Peaking PP,Gopalganj 100 MW Peaking PP,Gopalgonj Peaking Power Plant,4132618,904161859,218.79,"18,612/322","95&418,759",51.49,
29,Public,"Barapukuria Coal based S/T (unit 1,2)",COAL,250,86.4905,0.078,,,Barapukuria Power Station 1,86490537,971847293,11.24,"248,793/327","J,42Q149,816",13.75,Barapukuria PowerStation
31,Public,Barapukuria Coal based S/T (unit 3),COAL,274,1098.3259,0.518,,,Barapukuria Power Station 2,1098325916,9681794240,8.82,"248,793/327","J,42Q149,816",13.75,Barapukuria PowerStation
14,Public,Shikalbaha 225 MW PS,Gas,225,1014.6721,0.536,,,Shikalbaha 225 MW Shamipur (Dual Fuel),1015075276,3028903928,2.98,371948514,"l,17Q011,848",852,Shikalbaha 225 MWShamipur (Dual Fuel)
25,Public,Bhola 225 MW CCPP,Gas,194,315.2895,0.201,,,Bhola 225 MW CCPP,315289459,2046831372,6.49,633957607,"l,411)38,(IJ4",538,Bhola 225MWCCPP
55,Public,Katakhali 50 MW PP,F.Oil,50,51.4384,0.12,Katakhali 50 MW PP,Katakhali 50 MW PP,Katakhali 50MW Power Plant,51438387,981043441,19.07,67786253,"l,l1Q986,927",1934,
5,Public,Tongi 80 MW GTPP,Gas,105,-0.2004,,Tongi 80 MW GTPP,Tongi 80 MW GTPP,Tongi Power Station,-200350,232039734,,-74765,"l')(l026,ll6",,
34,Public,Rangpur 20 MW /GT,HSD,20,1.4037,0.009,,,Rangpur Gas Turbine Power Station,1403713,211487881,150.66,"2,082/340","lll,280,611",113.92,Rangpur Gas Turbine PowerStation
18,Public,Hathazari 100 MW Peaking PP,F.Oil,98,-0.8567,0.001,Hathazari 100 MW Peaking PP,Hathazari 100 MW Peaking PP,Hathazari Peacking Power Plant,-856680,357032315,,28044085,"m,l74 '116",31.67,
23,Public,Shahazibazar 100 MW GT,Gas,100,39.4552,0.052,,,Shahjibazar 100 P/S,39455245,74678391,1.89,"59,677/356",W95))4,8.98,Shahjibazar100 P/S
5,Public,Haripur GTPP,Gas,32,-0.4225,,,,Sbu Haripur (BPDB Book Costs),-422461,90047286,,"(347,975)","241,227,585",-693.232516703786,SBU HARIPUR
17,Public,Titas 50 MW Peaking PP,F.Oil,52,45.1598,0.104,,,Titas 50 MW Peacking Power Plant,45159828,767554040,17,"102,724,595","1,909,193,576",18.5855546668254,Daudkandi Peacking Power Plant
42,IPP,CLC Power Co. Ltd. 108 MW Bosila Keranigonj,F.Oil,108,0,0,,,CLC Power Company Ltd.,,,,,,,
56,IPP,APR Energy 300MW,HSD,300,71.9614,0.03,,,APR Energy 300MW,72053121,6405636446,88.9,"259,472,196","10,835,439,637",41.7595403439681,APR Energy 300MW
63,RENTAL & SIPP,Bogura 20 RPP (3 Yrs) Energy Prima,GAS,20,30.3411,0.17,,,"ENERGYPRIMA, BOGRA",27878796,96666127,3.47,,,,
69,RENTAL & SIPP,"IEL, Meghnaghat 100 MW",F.oil,100,270.9907,0.31,,,IELCONSOURTIUM & ASSOCIATES,270990720,3813956693,14.07,,,,
