,own_x,plant_name,plant_name_alt,fuel_type_x,capacity_mw,search_name
83,IPP,Julda 100 MW Unit - 2 (Acorn ),Acron Infrastructure Services Ltd. Unit-2,HFO,100.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
87,Public,Gazipur 100 MW PP,RPCL - Gazipur (105MW),HFO,105.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
89,IPP,Sembcorp NWPGCL,Sembcorp NWPC Ltd. - Sirajgonj (282MW),GAS,414.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
91,IPP,Baraka Shikalbaha 105MW PS,Baraka Shikalbaha Power Ltd. (105MW),HFO,105.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
92,IPP,Confidence Power  Ltd. 113MW Rangpur,Confidence Power Ltd. - Rangpur,HFO,113.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
93,IPP,Bogura 113 MW PP (Confidence) Unit-1,Confidence Power Ltd. (Unit-1),HFO,113.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
94,IPP,Karnaphuli Power Ltd.,Karnaphuli Power Ltd.,HFO,110.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
95,IPP,United Jamalpur PPL,United Jamalpur 200MW,HFO,115.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
96,IPP,Confidence CPBL- 2 Bogura,Confidence Power Ltd. (Unit-2) - Bogra,HFO,113.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
97,Public,Khulna 225 MW (NWPGCL),North West Power Gen (NWPGCL)- Khulna,HSD,230.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
100,IPP,Ashugonj 150 MW (Midland East),Midland East Power Company Ltd.,HFO,150.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
101,IPP,Kodda Gazipur 149MW Power Ltd. (unit-1 Summit) ACE Alliance,ACE Alliance Power Ltd. (149MW) (Summit Gazipur),HFO,149.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
102,IMPORT,Sembcorp Energy India Ltd.,Sembcrop Energy India Ltd. 250MW,IMPORT,200.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
103,IMPORT,Power Import (Bheramara-Bharampur Phase-2),NVVN Ltd. - India 300 MW,IMPORT,300.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
104,IPP,Manikganj 162MW P0wer Generation,Manikgonj Power Generations Limited (162MW),HFO,162.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
105,IPP,United Power Co. Ltd.200 MW Exp,United Mymensingh Power Ltd. (200MW),GAS,195.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
106,IPP,United Mymensing Power(UMPL) 200MW Generation,United Mymensingh Power Ltd. (200MW),HFO,200.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
107,IPP,Kodda Gazipur 300MW Power Ltd.(unit-2 Summit),Summit Gazipur II Power Ltd. - Kodda (300MW),HFO,300.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
108,IPP,United Anwara 300MW PS,United - Anawara (300MW),HFO,300.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
111,RENTAL & SIPP,Ghorashal 78 MW QRPP (3 Yrs Max Power),MAX POWER LTD.-GHORASAL,GAS,,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
115,Public,"Shahjibazar 70 MW GT, Habiganj",Shahjibazar Power Station,GAS,70.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
