plant,start,fuel_type,own,capacity,end
Chapainawabganj 100 MW PP,"12 August, 2017",HFO,BPDB,104.0,
Shikalbaha 225 MW CCPP,"8 November, 2017",Gas/HSD,BPDB,225.0,
Bheramara 360 MW CCPP (ST unit),"1 January, 2018",Gas/HSD,NWPGCL,132.0,
Barapukuria 275 MW (3rd Unit),"1 January, 2018",Coal,BPDB,274.0,
Ghorashal 365 MW CCPP,"05 February, 2018",Gas,BPDB,365.0,
Sirajganj 225 MW CCPP (2nd  Unit),"05 February, 2018",Gas/HSD,NWPGCL,220.0,
Siddhirganj 335 MW CCPP,"GT: 30 April, 2018",Gas,EGCB,217.0,
Sirajganj 225 MW CCPP (3rd  Unit),"GT: 9 August, 2018",Gas/HSD,NWPGCL,141.0,
Kamalaghat 50 MW PP,"1 January, 2018",HFO,IPP,54.0,
Noapara 100 MW PP,"18 April, 2018",HSD,IPP,100.0,
Kusiara 163 MW CCPP,"27 April, 2018",Gas,IPP,54.0,
DaudKandi 200 MW PP,"27 April, 2018",HSD,IPP,200.0,
"Kodda, Gazipur 300 MW PP","10 May, 2018",HFO,IPP,300.0,
Kamalaghat 50 MW PP,"1 January, 2018",HFO,IPP,54.0,
Noapara 100 MW PP,"18 April, 2018",HSD,IPP,100.0,
Kusiara 163 MW CCPP,"27 April, 2018",Gas,IPP,54.0,
DaudKandi 200 MW PP,"27 April, 2018",HSD,IPP,200.0,
"Kodda, Gazipur 300 MW PP","10 May, 2018",HFO,IPP,300.0,
"Bramhongaon, Keraniganj 100 MW PP","30 May, 2018",HSD,IPP,100.0,
Mymensingh 200 MW PP,"16 June, 2018",HFO,IPP,200.0,
"Aowrahati, Keranigonj 100 MW PP","29 June, 2018",HSD,IPP,100.0,
Kadda 149 MW PP,"12 July, 2018",HFO,IPP,149.0,
"Pangaon, keraniganj 300 MW PP","10 August, 2018",HSD,IPP,300.0,
Power import (2nd HVDC),"10 September, 2018",Import,Import,500.0,
"Teknaf, Coxsbazar 20 MW Solar Park","15 September, 2018",Solar,IPP,20.0,
Sirajganj 400±10 MW CCPP,"GT: 04 October, 2018",GAS/HSD,IPP,282.0,
"Rupsa, Khulna 105 MW PP","14 October, 2018",HFO,IPP,105.0,
Chandpur 200 MW PP,"09 November, 2018",HFO,IPP,200.0,
"Julda ,CTG 100 MW PP (Unit-3)","09 November, 2018",HFO,IPP,100.0,
Ashuganj 150 MW PP,"27 November, 2018",HFO,IPP,150.0,
Sirajgonj 225 MW CCPP (3rd Unit) (ST Unit),2019-01-20 00:00:00,Gas/HSD,NWPGCL,79.0,
Bibiana #3 CCPP,"GT: 06 February, 2019
ST: 24 September, 2019",Gas,BPDB,400.0,
"Modumoti, Bagerhat 100 MW PP","15 April,2019",HFO,NWPGCL,105.0,
Gazipur 100 MW PP,"25 May,2019",HFO,RPCL,105.0,
